"","vc","br","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"1","VC DMSO 0.3%",1,0.00411522633744856,"Ak_07",-2.38560627359831,1.00999828359775,0,1.00999828359775,NA
"2","VC DMSO 0.3%",1,0.0123456790123457,"Ak_07",-1.90848501887865,0.92444098230478,0,0.92444098230478,NA
"3","VC DMSO 0.3%",1,0.037037037037037,"Ak_07",-1.43136376415899,0.870757903047867,0,0.870757903047867,NA
"4","VC DMSO 0.3%",1,0.111111111111111,"Ak_07",-0.954242509439325,0.882299962336522,0,0.882299962336522,NA
"5","VC DMSO 0.3%",1,0.333333333333333,"Ak_07",-0.477121254719663,0.787746695128873,0,0.787746695128873,NA
"6","VC DMSO 0.3%",1,1,"Ak_07",0,0.750644318788834,0,0.750644318788834,NA
"7","VC DMSO 0.3%",1,0.00411522633744856,"Am_72",-2.38560627359831,0.844308640769909,0,0.844308640769909,NA
"8","VC DMSO 0.3%",1,0.0123456790123457,"Am_72",-1.90848501887865,0.807307015803867,0,0.807307015803867,NA
"9","VC DMSO 0.3%",1,0.037037037037037,"Am_72",-1.43136376415899,1.03478767714621,0,1.03478767714621,NA
"10","VC DMSO 0.3%",1,0.111111111111111,"Am_72",-0.954242509439325,0.916570989534207,0,0.916570989534207,NA
"11","VC DMSO 0.3%",1,0.333333333333333,"Am_72",-0.477121254719663,0.869062025151306,0,0.869062025151306,NA
"12","VC DMSO 0.3%",1,1,"Am_72",0,0.872917901619026,0,0.872917901619026,NA
"13","VC DMSO 0.3%",1,0.00411522633744856,"Am_86",-2.38560627359831,0.831285288254189,0,0.831285288254189,NA
"14","VC DMSO 0.3%",1,0.0123456790123457,"Am_86",-1.90848501887865,0.816685175631881,0,0.816685175631881,NA
"15","VC DMSO 0.3%",1,0.037037037037037,"Am_86",-1.43136376415899,0.837989730747265,0,0.837989730747265,NA
"16","VC DMSO 0.3%",1,0.111111111111111,"Am_86",-0.954242509439325,0.829132924534136,0,0.829132924534136,NA
"17","VC DMSO 0.3%",1,0.333333333333333,"Am_86",-0.477121254719663,0.813384336457687,0,0.813384336457687,NA
"18","VC DMSO 0.3%",1,1,"Am_86",0,0.838272734699293,0,0.838272734699293,NA
"19","VC DMSO 0.3%",1,0.00411522633744856,"Fh_12",-2.38560627359831,0.990030631290907,0,0.990030631290907,NA
