"","vc","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"1","VC DMSO 0.3%",0.00411522633744856,"-",-2.38560627359831,1.12426496602711,0.043933320498328,1.1309831339518,0.0549574007599733
"2","VC DMSO 0.3%",0.0123456790123457,"-",-1.90848501887865,1.13576747248398,0.0396230386466259,1.13742052462323,0.0461873161028185
"3","VC DMSO 0.3%",0.037037037037037,"-",-1.43136376415899,1.11897693253752,0.0452014068564693,1.12210955762024,0.0547245412702528
"4","VC DMSO 0.3%",0.111111111111111,"-",-0.954242509439325,1.10484235094829,0.0367813505482425,1.1062287841232,0.0557499589029678
"5","VC DMSO 0.3%",0.333333333333333,"-",-0.477121254719663,1.10285127658074,0.0652268955047657,1.10109650117395,0.0633679943637552
"6","VC DMSO 0.3%",1,"-",0,1.11582585948398,0.0588122770626913,1.10559334053458,0.0559669480712257
"7","VC DMSO 0.3%",0.00411522633744856,"Mo_65",-2.38560627359831,0.990706435253121,0,0.990706435253121,NA
"8","VC DMSO 0.3%",0.0123456790123457,"Mo_65",-1.90848501887865,0.999242527125155,0,0.999242527125155,NA
"9","VC DMSO 0.3%",0.037037037037037,"Mo_65",-1.43136376415899,0.971802073159508,0,0.971802073159508,NA
"10","VC DMSO 0.3%",0.111111111111111,"Mo_65",-0.954242509439325,1.00169881278509,0,1.00169881278509,NA
"11","VC DMSO 0.3%",0.333333333333333,"Mo_65",-0.477121254719663,0.950339289642587,0,0.950339289642587,NA
"12","VC DMSO 0.3%",1,"Mo_65",0,1.01014757584221,0,1.01014757584221,NA
"13","VC DMSO 0.3%",0.00411522633744856,"Pt_48",-2.38560627359831,0.998007532915423,0,0.998007532915423,NA
"14","VC DMSO 0.3%",0.0123456790123457,"Pt_48",-1.90848501887865,0.971518093972946,0,0.971518093972946,NA
"15","VC DMSO 0.3%",0.037037037037037,"Pt_48",-1.43136376415899,0.975435292562707,0,0.975435292562707,NA
"16","VC DMSO 0.3%",0.111111111111111,"Pt_48",-0.954242509439325,0.964506051535964,0,0.964506051535964,NA
"17","VC DMSO 0.3%",0.333333333333333,"Pt_48",-0.477121254719663,0.972421056710204,0,0.972421056710204,NA
"18","VC DMSO 0.3%",1,"Pt_48",0,0.913921218490891,0,0.913921218490891,NA
"19","VC DMSO 0.3%",0.00411522633744856,"Sb_24",-2.38560627359831,1.00575872852879,0,1.00575872852879,NA
"20","VC DMSO 0.3%",0.0123456790123457,"Sb_24",-1.90848501887865,1.02775977111367,0,1.02775977111367,NA
"21","VC DMSO 0.3%",0.037037037037037,"Sb_24",-1.43136376415899,1.06631833723174,0,1.06631833723174,NA
"22","VC DMSO 0.3%",0.111111111111111,"Sb_24",-0.954242509439325,1.04279225848978,0,1.04279225848978,NA
"23","VC DMSO 0.3%",0.333333333333333,"Sb_24",-0.477121254719663,1.04404460451959,0,1.04404460451959,NA
"24","VC DMSO 0.3%",1,"Sb_24",0,0.980996590054353,0,0.980996590054353,NA
"25","VC DMSO 0.3%",0.00411522633744856,"Sb_25",-2.38560627359831,1.02508010964748,0,1.02508010964748,NA
"26","VC DMSO 0.3%",0.0123456790123457,"Sb_25",-1.90848501887865,0.998067895733283,0,0.998067895733283,NA
"27","VC DMSO 0.3%",0.037037037037037,"Sb_25",-1.43136376415899,1.00963652382318,0,1.00963652382318,NA
"28","VC DMSO 0.3%",0.111111111111111,"Sb_25",-0.954242509439325,0.966780169515099,0,0.966780169515099,NA
"29","VC DMSO 0.3%",0.333333333333333,"Sb_25",-0.477121254719663,0.941452395575641,0,0.941452395575641,NA
"30","VC DMSO 0.3%",1,"Sb_25",0,0.633700272340785,0,0.633700272340785,NA
"31","VC DMSO 0.3%",0.00411522633744856,"Sb_26",-2.38560627359831,1.01864708656134,0,1.01864708656134,NA
"32","VC DMSO 0.3%",0.0123456790123457,"Sb_26",-1.90848501887865,0.960382147407232,0,0.960382147407232,NA
"33","VC DMSO 0.3%",0.037037037037037,"Sb_26",-1.43136376415899,1.03561768369982,0,1.03561768369982,NA
"34","VC DMSO 0.3%",0.111111111111111,"Sb_26",-0.954242509439325,1.00949230578477,0,1.00949230578477,NA
"35","VC DMSO 0.3%",0.333333333333333,"Sb_26",-0.477121254719663,0.960946208326241,0,0.960946208326241,NA
"36","VC DMSO 0.3%",1,"Sb_26",0,0.904325971804983,0,0.904325971804983,NA
"37","VC DMSO 0.3%",0.00411522633744856,"Sb_44",-2.38560627359831,0.975844161342153,0,0.975844161342153,NA
"38","VC DMSO 0.3%",0.0123456790123457,"Sb_44",-1.90848501887865,1.00412566686652,0,1.00412566686652,NA
"39","VC DMSO 0.3%",0.037037037037037,"Sb_44",-1.43136376415899,0.957823550517731,0,0.957823550517731,NA
"40","VC DMSO 0.3%",0.111111111111111,"Sb_44",-0.954242509439325,0.915539199604692,0,0.915539199604692,NA
"41","VC DMSO 0.3%",0.333333333333333,"Sb_44",-0.477121254719663,0.924689487516756,0,0.924689487516756,NA
"42","VC DMSO 0.3%",1,"Sb_44",0,0.988868089401464,0,0.988868089401464,NA
