"","vc","br","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"1","VC DMSO 0.3%",3,0.00411522633744856,"Ak_07",-2.38560627359831,1.10678798806888,0,1.10678798806888,NA
"2","VC DMSO 0.3%",3,0.0123456790123457,"Ak_07",-1.90848501887865,1.16559953415652,0,1.16559953415652,NA
"3","VC DMSO 0.3%",3,0.037037037037037,"Ak_07",-1.43136376415899,1.13026980982606,0,1.13026980982606,NA
"4","VC DMSO 0.3%",3,0.111111111111111,"Ak_07",-0.954242509439325,1.13510294062617,0,1.13510294062617,NA
"5","VC DMSO 0.3%",3,0.333333333333333,"Ak_07",-0.477121254719663,1.15137976852234,0,1.15137976852234,NA
"6","VC DMSO 0.3%",3,1,"Ak_07",0,1.08045378642607,0,1.08045378642607,NA
"7","VC DMSO 0.3%",3,0.00411522633744856,"Am_72",-2.38560627359831,1.08321507113341,0,1.08321507113341,NA
"8","VC DMSO 0.3%",3,0.0123456790123457,"Am_72",-1.90848501887865,1.04216848250726,0,1.04216848250726,NA
"9","VC DMSO 0.3%",3,0.037037037037037,"Am_72",-1.43136376415899,1.09449563943591,0,1.09449563943591,NA
"10","VC DMSO 0.3%",3,0.111111111111111,"Am_72",-0.954242509439325,1.02397161690222,0,1.02397161690222,NA
"11","VC DMSO 0.3%",3,0.333333333333333,"Am_72",-0.477121254719663,0.92667669821487,0,0.92667669821487,NA
"12","VC DMSO 0.3%",3,1,"Am_72",0,0.881901244071524,0,0.881901244071524,NA
"13","VC DMSO 0.3%",3,0.00411522633744856,"Am_86",-2.38560627359831,1.06039939275245,0,1.06039939275245,NA
"14","VC DMSO 0.3%",3,0.0123456790123457,"Am_86",-1.90848501887865,1.03678547166312,0,1.03678547166312,NA
"15","VC DMSO 0.3%",3,0.037037037037037,"Am_86",-1.43136376415899,1.06687222067361,0,1.06687222067361,NA
"16","VC DMSO 0.3%",3,0.111111111111111,"Am_86",-0.954242509439325,1.00736098431418,0,1.00736098431418,NA
"17","VC DMSO 0.3%",3,0.333333333333333,"Am_86",-0.477121254719663,0.939939525516252,0,0.939939525516252,NA
"18","VC DMSO 0.3%",3,1,"Am_86",0,0.880744827730306,0,0.880744827730306,NA
"19","VC DMSO 0.3%",3,0.00411522633744856,"Fh_12",-2.38560627359831,1.03334622889048,0,1.03334622889048,NA
"20","VC DMSO 0.3%",3,0.0123456790123457,"Fh_12",-1.90848501887865,1.11853517644468,0,1.11853517644468,NA
"21","VC DMSO 0.3%",3,0.037037037037037,"Fh_12",-1.43136376415899,1.10579304343521,0,1.10579304343521,NA
"22","VC DMSO 0.3%",3,0.111111111111111,"Fh_12",-0.954242509439325,1.09796093991692,0,1.09796093991692,NA
"23","VC DMSO 0.3%",3,0.333333333333333,"Fh_12",-0.477121254719663,1.11595752112276,0,1.11595752112276,NA
"24","VC DMSO 0.3%",3,1,"Fh_12",0,1.06429223553085,0,1.06429223553085,NA
"25","VC DMSO 0.3%",3,0.00411522633744856,"Gc_07",-2.38560627359831,1.01606786167811,0,1.01606786167811,NA
"26","VC DMSO 0.3%",3,0.0123456790123457,"Gc_07",-1.90848501887865,0.987546259976792,0,0.987546259976792,NA
"27","VC DMSO 0.3%",3,0.037037037037037,"Gc_07",-1.43136376415899,1.02071768262948,0,1.02071768262948,NA
"28","VC DMSO 0.3%",3,0.111111111111111,"Gc_07",-0.954242509439325,0.964589497862661,0,0.964589497862661,NA
"29","VC DMSO 0.3%",3,0.333333333333333,"Gc_07",-0.477121254719663,0.974997713471918,0,0.974997713471918,NA
"30","VC DMSO 0.3%",3,1,"Gc_07",0,0.937599492119747,0,0.937599492119747,NA
"31","VC DMSO 0.3%",3,0.00411522633744856,"Gc_23",-2.38560627359831,1.0409490392278,0,1.0409490392278,NA
"32","VC DMSO 0.3%",3,0.0123456790123457,"Gc_23",-1.90848501887865,1.0480277599176,0,1.0480277599176,NA
"33","VC DMSO 0.3%",3,0.037037037037037,"Gc_23",-1.43136376415899,1.00955738733704,0,1.00955738733704,NA
"34","VC DMSO 0.3%",3,0.111111111111111,"Gc_23",-0.954242509439325,1.06338204360663,0,1.06338204360663,NA
"35","VC DMSO 0.3%",3,0.333333333333333,"Gc_23",-0.477121254719663,1.02736120451727,0,1.02736120451727,NA
"36","VC DMSO 0.3%",3,1,"Gc_23",0,0.916173099052098,0,0.916173099052098,NA
"37","VC DMSO 0.3%",3,0.00411522633744856,"Gc_25",-2.38560627359831,0.983229483363577,0,0.983229483363577,NA
"38","VC DMSO 0.3%",3,0.0123456790123457,"Gc_25",-1.90848501887865,1.01768303095616,0,1.01768303095616,NA
"39","VC DMSO 0.3%",3,0.037037037037037,"Gc_25",-1.43136376415899,0.968202151282439,0,0.968202151282439,NA
"40","VC DMSO 0.3%",3,0.111111111111111,"Gc_25",-0.954242509439325,0.975241355606875,0,0.975241355606875,NA
"41","VC DMSO 0.3%",3,0.333333333333333,"Gc_25",-0.477121254719663,0.869571711616657,0,0.869571711616657,NA
"42","VC DMSO 0.3%",3,1,"Gc_25",0,0.86894493585169,0,0.86894493585169,NA
"43","VC DMSO 0.3%",3,0.00411522633744856,"Gc_26",-2.38560627359831,0.939653427328033,0,0.939653427328033,NA
"44","VC DMSO 0.3%",3,0.0123456790123457,"Gc_26",-1.90848501887865,0.987996120834182,0,0.987996120834182,NA
"45","VC DMSO 0.3%",3,0.037037037037037,"Gc_26",-1.43136376415899,0.957408071997074,0,0.957408071997074,NA
"46","VC DMSO 0.3%",3,0.111111111111111,"Gc_26",-0.954242509439325,0.911570182173797,0,0.911570182173797,NA
"47","VC DMSO 0.3%",3,0.333333333333333,"Gc_26",-0.477121254719663,0.84178206522335,0,0.84178206522335,NA
"48","VC DMSO 0.3%",3,1,"Gc_26",0,0.719195481185421,0,0.719195481185421,NA
"49","VC DMSO 0.3%",3,0.00411522633744856,"Gc_28",-2.38560627359831,1.1049183448329,0,1.1049183448329,NA
"50","VC DMSO 0.3%",3,0.0123456790123457,"Gc_28",-1.90848501887865,1.05795687025725,0,1.05795687025725,NA
"51","VC DMSO 0.3%",3,0.037037037037037,"Gc_28",-1.43136376415899,1.0510877391419,0,1.0510877391419,NA
"52","VC DMSO 0.3%",3,0.111111111111111,"Gc_28",-0.954242509439325,1.0508548335382,0,1.0508548335382,NA
"53","VC DMSO 0.3%",3,0.333333333333333,"Gc_28",-0.477121254719663,1.01966853160633,0,1.01966853160633,NA
"54","VC DMSO 0.3%",3,1,"Gc_28",0,1.00233633743881,0,1.00233633743881,NA
"55","VC DMSO 0.3%",3,0.00411522633744856,"Gc_32",-2.38560627359831,1.05708788297078,0,1.05708788297078,NA
"56","VC DMSO 0.3%",3,0.0123456790123457,"Gc_32",-1.90848501887865,1.02245360286128,0,1.02245360286128,NA
"57","VC DMSO 0.3%",3,0.037037037037037,"Gc_32",-1.43136376415899,1.00493633285419,0,1.00493633285419,NA
"58","VC DMSO 0.3%",3,0.111111111111111,"Gc_32",-0.954242509439325,1.02335595438022,0,1.02335595438022,NA
"59","VC DMSO 0.3%",3,0.333333333333333,"Gc_32",-0.477121254719663,1.08678564719172,0,1.08678564719172,NA
"60","VC DMSO 0.3%",3,1,"Gc_32",0,0.973357327280304,0,0.973357327280304,NA
"61","VC DMSO 0.3%",3,0.00411522633744856,"Gc_33",-2.38560627359831,1.03787840440834,0,1.03787840440834,NA
"62","VC DMSO 0.3%",3,0.0123456790123457,"Gc_33",-1.90848501887865,1.00033257146843,0,1.00033257146843,NA
"63","VC DMSO 0.3%",3,0.037037037037037,"Gc_33",-1.43136376415899,0.983033738563246,0,0.983033738563246,NA
"64","VC DMSO 0.3%",3,0.111111111111111,"Gc_33",-0.954242509439325,0.988740137847227,0,0.988740137847227,NA
"65","VC DMSO 0.3%",3,0.333333333333333,"Gc_33",-0.477121254719663,0.952800968718073,0,0.952800968718073,NA
