,vc,br,conc,cond,well,log10conc,dose_conds_rlu
1,VC DMSO 0.3%,2,0.00411522633744856,Ak_07,A23,-2.38560627359831,0.992092784653034
2,VC DMSO 0.3%,2,0.0123456790123457,Ak_07,A21,-1.90848501887865,1.06843307284773
3,VC DMSO 0.3%,2,0.037037037037037,Ak_07,A19,-1.43136376415899,1.0421541972558
4,VC DMSO 0.3%,2,0.111111111111111,Ak_07,A17,-0.954242509439325,1.0590819902853
5,VC DMSO 0.3%,2,0.333333333333333,Ak_07,A15,-0.477121254719662,0.992999626432144
6,VC DMSO 0.3%,2,1,Ak_07,A13,0,0.994308118960898
7,VC DMSO 0.3%,2,0.00411522633744856,Am_72,A11,-2.38560627359831,1.05006151408751
8,VC DMSO 0.3%,2,0.0123456790123457,Am_72,A9,-1.90848501887865,1.10204065427778
9,VC DMSO 0.3%,2,0.037037037037037,Am_72,A7,-1.43136376415899,1.14281329746808
10,VC DMSO 0.3%,2,0.111111111111111,Am_72,A5,-0.954242509439325,1.11443824357473
11,VC DMSO 0.3%,2,0.333333333333333,Am_72,A3,-0.477121254719662,1.04889174321467
12,VC DMSO 0.3%,2,1,Am_72,A1,0,0.96543028281193
13,VC DMSO 0.3%,2,0.00411522633744856,Am_86,A12,-2.38560627359831,1.02835838416981
14,VC DMSO 0.3%,2,0.0123456790123457,Am_86,A10,-1.90848501887865,1.04382340151457
15,VC DMSO 0.3%,2,0.037037037037037,Am_86,A8,-1.43136376415899,1.07250859327632
16,VC DMSO 0.3%,2,0.111111111111111,Am_86,A6,-0.954242509439325,1.04032821389928
17,VC DMSO 0.3%,2,0.333333333333333,Am_86,A4,-0.477121254719662,0.987407756005773
18,VC DMSO 0.3%,2,1,Am_86,A2,0,0.892755756159681
19,VC DMSO 0.3%,2,0.00411522633744856,Fh_12,A24,-2.38560627359831,0.954204692490956
20,VC DMSO 0.3%,2,0.0123456790123457,Fh_12,A22,-1.90848501887865,1.02542786650971
21,VC DMSO 0.3%,2,0.037037037037037,Fh_12,A20,-1.43136376415899,0.97122827900519
22,VC DMSO 0.3%,2,0.111111111111111,Fh_12,A18,-0.954242509439325,1.00402320536251
23,VC DMSO 0.3%,2,0.333333333333333,Fh_12,A16,-0.477121254719662,1.01041955152108
24,VC DMSO 0.3%,2,1,Fh_12,A14,0,1.00476046120198
25,VC DMSO 0.3%,2,0.00411522633744856,Gc_07,B11,-2.38560627359831,1.03612981331643
26,VC DMSO 0.3%,2,0.0123456790123457,Gc_07,B9,-1.90848501887865,1.04141590705753
27,VC DMSO 0.3%,2,0.037037037037037,Gc_07,B7,-1.43136376415899,1.04161359780823
28,VC DMSO 0.3%,2,0.111111111111111,Gc_07,B5,-0.954242509439325,0.902974969331329
29,VC DMSO 0.3%,2,0.333333333333333,Gc_07,B3,-0.477121254719662,0.9370832888787
30,VC DMSO 0.3%,2,1,Gc_07,B1,0,0.943867194738633
31,VC DMSO 0.3%,2,0.00411522633744856,Gc_23,B23,-2.38560627359831,1.00679143916965
