"","vc","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"1","VC DMSO 0.3%",0.00411522633744856,"Ak_07",-2.38560627359831,0.992092784653034,0,0.992092784653034,NA
"2","VC DMSO 0.3%",0.0123456790123457,"Ak_07",-1.90848501887865,1.06843307284773,0,1.06843307284773,NA
"3","VC DMSO 0.3%",0.037037037037037,"Ak_07",-1.43136376415899,1.0421541972558,0,1.0421541972558,NA
"4","VC DMSO 0.3%",0.111111111111111,"Ak_07",-0.954242509439325,1.0590819902853,0,1.0590819902853,NA
"5","VC DMSO 0.3%",0.333333333333333,"Ak_07",-0.477121254719663,0.992999626432144,0,0.992999626432144,NA
"6","VC DMSO 0.3%",1,"Ak_07",0,0.994308118960898,0,0.994308118960898,NA
"7","VC DMSO 0.3%",0.00411522633744856,"Am_72",-2.38560627359831,1.05006151408751,0,1.05006151408751,NA
"8","VC DMSO 0.3%",0.0123456790123457,"Am_72",-1.90848501887865,1.10204065427778,0,1.10204065427778,NA
"9","VC DMSO 0.3%",0.037037037037037,"Am_72",-1.43136376415899,1.14281329746808,0,1.14281329746808,NA
"10","VC DMSO 0.3%",0.111111111111111,"Am_72",-0.954242509439325,1.11443824357473,0,1.11443824357473,NA
"11","VC DMSO 0.3%",0.333333333333333,"Am_72",-0.477121254719663,1.04889174321467,0,1.04889174321467,NA
"12","VC DMSO 0.3%",1,"Am_72",0,0.96543028281193,0,0.96543028281193,NA
"13","VC DMSO 0.3%",0.00411522633744856,"Am_86",-2.38560627359831,1.02835838416981,0,1.02835838416981,NA
"14","VC DMSO 0.3%",0.0123456790123457,"Am_86",-1.90848501887865,1.04382340151457,0,1.04382340151457,NA
"15","VC DMSO 0.3%",0.037037037037037,"Am_86",-1.43136376415899,1.07250859327632,0,1.07250859327632,NA
"16","VC DMSO 0.3%",0.111111111111111,"Am_86",-0.954242509439325,1.04032821389928,0,1.04032821389928,NA
"17","VC DMSO 0.3%",0.333333333333333,"Am_86",-0.477121254719663,0.987407756005773,0,0.987407756005773,NA
"18","VC DMSO 0.3%",1,"Am_86",0,0.892755756159681,0,0.892755756159681,NA
"19","VC DMSO 0.3%",0.00411522633744856,"Fh_12",-2.38560627359831,0.954204692490956,0,0.954204692490956,NA
"20","VC DMSO 0.3%",0.0123456790123457,"Fh_12",-1.90848501887865,1.02542786650971,0,1.02542786650971,NA
"21","VC DMSO 0.3%",0.037037037037037,"Fh_12",-1.43136376415899,0.97122827900519,0,0.97122827900519,NA
"22","VC DMSO 0.3%",0.111111111111111,"Fh_12",-0.954242509439325,1.00402320536251,0,1.00402320536251,NA
"23","VC DMSO 0.3%",0.333333333333333,"Fh_12",-0.477121254719663,1.01041955152108,0,1.01041955152108,NA
"24","VC DMSO 0.3%",1,"Fh_12",0,1.00476046120198,0,1.00476046120198,NA
"25","VC DMSO 0.3%",0.00411522633744856,"Gc_07",-2.38560627359831,1.03612981331643,0,1.03612981331643,NA
"26","VC DMSO 0.3%",0.0123456790123457,"Gc_07",-1.90848501887865,1.04141590705753,0,1.04141590705753,NA
"27","VC DMSO 0.3%",0.037037037037037,"Gc_07",-1.43136376415899,1.04161359780823,0,1.04161359780823,NA
"28","VC DMSO 0.3%",0.111111111111111,"Gc_07",-0.954242509439325,0.902974969331329,0,0.902974969331329,NA
"29","VC DMSO 0.3%",0.333333333333333,"Gc_07",-0.477121254719663,0.9370832888787,0,0.9370832888787,NA
"30","VC DMSO 0.3%",1,"Gc_07",0,0.943867194738633,0,0.943867194738633,NA
"31","VC DMSO 0.3%",0.00411522633744856,"Gc_23",-2.38560627359831,1.00679143916965,0,1.00679143916965,NA
"32","VC DMSO 0.3%",0.0123456790123457,"Gc_23",-1.90848501887865,1.01632350284949,0,1.01632350284949,NA
"33","VC DMSO 0.3%",0.037037037037037,"Gc_23",-1.43136376415899,1.06917075287059,0,1.06917075287059,NA
"34","VC DMSO 0.3%",0.111111111111111,"Gc_23",-0.954242509439325,0.968220105881836,0,0.968220105881836,NA
"35","VC DMSO 0.3%",0.333333333333333,"Gc_23",-0.477121254719663,0.95897833391252,0,0.95897833391252,NA
"36","VC DMSO 0.3%",1,"Gc_23",0,0.904317602542493,0,0.904317602542493,NA
"37","VC DMSO 0.3%",0.00411522633744856,"Gc_25",-2.38560627359831,0.966086350607005,0,0.966086350607005,NA
"38","VC DMSO 0.3%",0.0123456790123457,"Gc_25",-1.90848501887865,0.919425915854191,0,0.919425915854191,NA
"39","VC DMSO 0.3%",0.037037037037037,"Gc_25",-1.43136376415899,0.952296902805997,0,0.952296902805997,NA
"40","VC DMSO 0.3%",0.111111111111111,"Gc_25",-0.954242509439325,0.891885912852952,0,0.891885912852952,NA
"41","VC DMSO 0.3%",0.333333333333333,"Gc_25",-0.477121254719663,0.910442619306274,0,0.910442619306274,NA
"42","VC DMSO 0.3%",1,"Gc_25",0,0.985901065175925,0,0.985901065175925,NA
"43","VC DMSO 0.3%",0.00411522633744856,"Gc_26",-2.38560627359831,0.988014150252021,0,0.988014150252021,NA
"44","VC DMSO 0.3%",0.0123456790123457,"Gc_26",-1.90848501887865,0.941095007207709,0,0.941095007207709,NA
"45","VC DMSO 0.3%",0.037037037037037,"Gc_26",-1.43136376415899,0.942148387628266,0,0.942148387628266,NA
"46","VC DMSO 0.3%",0.111111111111111,"Gc_26",-0.954242509439325,0.8472800519664,0,0.8472800519664,NA
"47","VC DMSO 0.3%",0.333333333333333,"Gc_26",-0.477121254719663,0.883525296254551,0,0.883525296254551,NA
"48","VC DMSO 0.3%",1,"Gc_26",0,0.760149142869076,0,0.760149142869076,NA
"49","VC DMSO 0.3%",0.00411522633744856,"Gc_28",-2.38560627359831,1.03033977246243,0,1.03033977246243,NA
"50","VC DMSO 0.3%",0.0123456790123457,"Gc_28",-1.90848501887865,1.03918587101918,0,1.03918587101918,NA
"51","VC DMSO 0.3%",0.037037037037037,"Gc_28",-1.43136376415899,1.04636174008058,0,1.04636174008058,NA
"52","VC DMSO 0.3%",0.111111111111111,"Gc_28",-0.954242509439325,1.04590308100745,0,1.04590308100745,NA
"53","VC DMSO 0.3%",0.333333333333333,"Gc_28",-0.477121254719663,1.06704584539257,0,1.06704584539257,NA
"54","VC DMSO 0.3%",1,"Gc_28",0,0.928039742070357,0,0.928039742070357,NA
"55","VC DMSO 0.3%",0.00411522633744856,"Gc_32",-2.38560627359831,1.01830210632993,0,1.01830210632993,NA
"56","VC DMSO 0.3%",0.0123456790123457,"Gc_32",-1.90848501887865,1.00404339639111,0,1.00404339639111,NA
"57","VC DMSO 0.3%",0.037037037037037,"Gc_32",-1.43136376415899,0.990011301747206,0,0.990011301747206,NA
"58","VC DMSO 0.3%",0.111111111111111,"Gc_32",-0.954242509439325,1.01077411639269,0,1.01077411639269,NA
"59","VC DMSO 0.3%",0.333333333333333,"Gc_32",-0.477121254719663,1.10907670955036,0,1.10907670955036,NA
"60","VC DMSO 0.3%",1,"Gc_32",0,1.03749691030441,0,1.03749691030441,NA
"61","VC DMSO 0.3%",0.00411522633744856,"Gc_33",-2.38560627359831,1.05585318047109,0,1.05585318047109,NA
"62","VC DMSO 0.3%",0.0123456790123457,"Gc_33",-1.90848501887865,1.03580343839663,0,1.03580343839663,NA
"63","VC DMSO 0.3%",0.037037037037037,"Gc_33",-1.43136376415899,0.988875256242203,0,0.988875256242203,NA
"64","VC DMSO 0.3%",0.111111111111111,"Gc_33",-0.954242509439325,0.958527011894603,0,0.958527011894603,NA
"65","VC DMSO 0.3%",0.333333333333333,"Gc_33",-0.477121254719663,0.975114923538528,0,0.975114923538528,NA
"66","VC DMSO 0.3%",1,"Gc_33",0,1.0506198197713,0,1.0506198197713,NA
"67","VC DMSO 0.3%",0.00411522633744856,"Gc_34",-2.38560627359831,0.92435301689765,0,0.92435301689765,NA
"68","VC DMSO 0.3%",0.0123456790123457,"Gc_34",-1.90848501887865,1.01402557972911,0,1.01402557972911,NA
"69","VC DMSO 0.3%",0.037037037037037,"Gc_34",-1.43136376415899,0.79699134446305,0,0.79699134446305,NA
"70","VC DMSO 0.3%",0.111111111111111,"Gc_34",-0.954242509439325,1.00114512629861,0,1.00114512629861,NA
"71","VC DMSO 0.3%",0.333333333333333,"Gc_34",-0.477121254719663,1.03747453044892,0,1.03747453044892,NA
"72","VC DMSO 0.3%",1,"Gc_34",0,0.889764744219676,0,0.889764744219676,NA
"73","VC DMSO 0.3%",0.00411522633744856,"Gc_35",-2.38560627359831,1.06278829301706,0,1.06278829301706,NA
"74","VC DMSO 0.3%",0.0123456790123457,"Gc_35",-1.90848501887865,0.983141878334154,0,0.983141878334154,NA
"75","VC DMSO 0.3%",0.037037037037037,"Gc_35",-1.43136376415899,1.00413917011102,0,1.00413917011102,NA
"76","VC DMSO 0.3%",0.111111111111111,"Gc_35",-0.954242509439325,1.07170069265591,0,1.07170069265591,NA
"77","VC DMSO 0.3%",0.333333333333333,"Gc_35",-0.477121254719663,0.970842630409693,0,0.970842630409693,NA
"78","VC DMSO 0.3%",1,"Gc_35",0,1.29672898012366,0,1.29672898012366,NA
"79","VC DMSO 0.3%",0.00411522633744856,"Gc_36",-2.38560627359831,1.0481276888159,0,1.0481276888159,NA
"80","VC DMSO 0.3%",0.0123456790123457,"Gc_36",-1.90848501887865,1.05229985945807,0,1.05229985945807,NA
"81","VC DMSO 0.3%",0.037037037037037,"Gc_36",-1.43136376415899,1.00338927188308,0,1.00338927188308,NA
"82","VC DMSO 0.3%",0.111111111111111,"Gc_36",-0.954242509439325,0.991057328641875,0,0.991057328641875,NA
"83","VC DMSO 0.3%",0.333333333333333,"Gc_36",-0.477121254719663,0.951839900683452,0,0.951839900683452,NA
"84","VC DMSO 0.3%",1,"Gc_36",0,0.85246237255758,0,0.85246237255758,NA
"85","VC DMSO 0.3%",0.00411522633744856,"Gc_37",-2.38560627359831,0.993230804612679,0,0.993230804612679,NA
"86","VC DMSO 0.3%",0.0123456790123457,"Gc_37",-1.90848501887865,1.0433418687189,0,1.0433418687189,NA
"87","VC DMSO 0.3%",0.037037037037037,"Gc_37",-1.43136376415899,1.05860810900816,0,1.05860810900816,NA
"88","VC DMSO 0.3%",0.111111111111111,"Gc_37",-0.954242509439325,1.03987535250612,0,1.03987535250612,NA
"89","VC DMSO 0.3%",0.333333333333333,"Gc_37",-0.477121254719663,1.050786732646,0,1.050786732646,NA
"90","VC DMSO 0.3%",1,"Gc_37",0,1.0132170942728,0,1.0132170942728,NA
"91","VC DMSO 0.3%",0.00411522633744856,"Ko_09",-2.38560627359831,0.984111484306506,0,0.984111484306506,NA
"92","VC DMSO 0.3%",0.0123456790123457,"Ko_09",-1.90848501887865,0.965254261903645,0,0.965254261903645,NA
"93","VC DMSO 0.3%",0.037037037037037,"Ko_09",-1.43136376415899,1.01306072922266,0,1.01306072922266,NA
"94","VC DMSO 0.3%",0.111111111111111,"Ko_09",-0.954242509439325,1.01016078849624,0,1.01016078849624,NA
"95","VC DMSO 0.3%",0.333333333333333,"Ko_09",-0.477121254719663,1.01826750700238,0,1.01826750700238,NA
"96","VC DMSO 0.3%",1,"Ko_09",0,0.0701685603242323,0,0.0701685603242323,NA
"97","VC DMSO 0.3%",0.00411522633744856,"Ko_11",-2.38560627359831,1.02871947548569,0,1.02871947548569,NA
"98","VC DMSO 0.3%",0.0123456790123457,"Ko_11",-1.90848501887865,1.03795719059941,0,1.03795719059941,NA
"99","VC DMSO 0.3%",0.037037037037037,"Ko_11",-1.43136376415899,1.02867663473581,0,1.02867663473581,NA
"100","VC DMSO 0.3%",0.111111111111111,"Ko_11",-0.954242509439325,1.00037513637295,0,1.00037513637295,NA
"101","VC DMSO 0.3%",0.333333333333333,"Ko_11",-0.477121254719663,0.944696812839739,0,0.944696812839739,NA
"102","VC DMSO 0.3%",1,"Ko_11",0,0.966946438202269,0,0.966946438202269,NA
"103","VC DMSO 0.3%",0.00411522633744856,"Ko_15",-2.38560627359831,1.02762507242512,0,1.02762507242512,NA
"104","VC DMSO 0.3%",0.0123456790123457,"Ko_15",-1.90848501887865,1.06607888689226,0,1.06607888689226,NA
"105","VC DMSO 0.3%",0.037037037037037,"Ko_15",-1.43136376415899,1.02037922273134,0,1.02037922273134,NA
"106","VC DMSO 0.3%",0.111111111111111,"Ko_15",-0.954242509439325,1.06326676353292,0,1.06326676353292,NA
"107","VC DMSO 0.3%",0.333333333333333,"Ko_15",-0.477121254719663,1.10192572160752,0,1.10192572160752,NA
"108","VC DMSO 0.3%",1,"Ko_15",0,1.0703720174606,0,1.0703720174606,NA
"109","VC DMSO 0.3%",0.00411522633744856,"Ko_16",-2.38560627359831,1.01054611274601,0,1.01054611274601,NA
"110","VC DMSO 0.3%",0.0123456790123457,"Ko_16",-1.90848501887865,1.06869523592806,0,1.06869523592806,NA
"111","VC DMSO 0.3%",0.037037037037037,"Ko_16",-1.43136376415899,1.05319226050365,0,1.05319226050365,NA
"112","VC DMSO 0.3%",0.111111111111111,"Ko_16",-0.954242509439325,1.00230241999658,0,1.00230241999658,NA
"113","VC DMSO 0.3%",0.333333333333333,"Ko_16",-0.477121254719663,0.949288121534397,0,0.949288121534397,NA
