,vc,br,conc,cond,well,log10conc,dose_conds_rlu
1,VC DMSO 0.3%,3,0.00411522633744856,-,A11,-2.38560627359831,1.22265263507802
2,VC DMSO 0.3%,3,0.00411522633744856,-,A12,-2.38560627359831,1.23009477886094
3,VC DMSO 0.3%,3,0.00411522633744856,-,A23,-2.38560627359831,1.39988602479753
4,VC DMSO 0.3%,3,0.00411522633744856,-,A24,-2.38560627359831,1.23958600197944
5,VC DMSO 0.3%,3,0.00411522633744856,-,B11,-2.38560627359831,1.18302105378779
6,VC DMSO 0.3%,3,0.00411522633744856,-,B23,-2.38560627359831,1.21503524522268
7,VC DMSO 0.3%,3,0.00411522633744856,-,E24,-2.38560627359831,1.19113996142614
8,VC DMSO 0.3%,3,0.00411522633744856,-,F11,-2.38560627359831,1.08783456467462
9,VC DMSO 0.3%,3,0.00411522633744856,-,F23,-2.38560627359831,1.1079693522772
10,VC DMSO 0.3%,3,0.00411522633744856,-,G11,-2.38560627359831,1.13620625941237
11,VC DMSO 0.3%,3,0.00411522633744856,-,G12,-2.38560627359831,1.17203055004553
12,VC DMSO 0.3%,3,0.00411522633744856,-,G23,-2.38560627359831,1.15877049829175
13,VC DMSO 0.3%,3,0.00411522633744856,-,G24,-2.38560627359831,1.1925409614663
14,VC DMSO 0.3%,3,0.00411522633744856,-,H11,-2.38560627359831,1.04294224776292
15,VC DMSO 0.3%,3,0.00411522633744856,-,H23,-2.38560627359831,1.11133718314709
16,VC DMSO 0.3%,3,0.00411522633744856,-,I11,-2.38560627359831,1.05621551470857
17,VC DMSO 0.3%,3,0.00411522633744856,-,I12,-2.38560627359831,1.10864984175418
18,VC DMSO 0.3%,3,0.00411522633744856,-,I23,-2.38560627359831,1.07065950690658
19,VC DMSO 0.3%,3,0.00411522633744856,-,I24,-2.38560627359831,1.17021765575657
20,VC DMSO 0.3%,3,0.00411522633744856,-,J11,-2.38560627359831,1.10889741200431
21,VC DMSO 0.3%,3,0.00411522633744856,-,J23,-2.38560627359831,1.10773661831215
22,VC DMSO 0.3%,3,0.00411522633744856,-,K11,-2.38560627359831,1.08536290350201
23,VC DMSO 0.3%,3,0.00411522633744856,-,K12,-2.38560627359831,1.06850335586682
24,VC DMSO 0.3%,3,0.00411522633744856,-,K23,-2.38560627359831,1.13171689351093
25,VC DMSO 0.3%,3,0.00411522633744856,-,K24,-2.38560627359831,1.18603832492092
26,VC DMSO 0.3%,3,0.00411522633744856,-,L11,-2.38560627359831,1.08157576608207
27,VC DMSO 0.3%,3,0.00411522633744856,-,L23,-2.38560627359831,1.08813197658691
28,VC DMSO 0.3%,3,0.00411522633744856,-,M11,-2.38560627359831,1.05997071258692
29,VC DMSO 0.3%,3,0.00411522633744856,-,M12,-2.38560627359831,1.05838587395714
30,VC DMSO 0.3%,3,0.00411522633744856,-,M23,-2.38560627359831,1.1155889812884
31,VC DMSO 0.3%,3,0.00411522633744856,-,M24,-2.38560627359831,1.21586712110616
32,VC DMSO 0.3%,3,0.00411522633744856,-,N11,-2.38560627359831,1.08028074709639
33,VC DMSO 0.3%,3,0.00411522633744856,-,N23,-2.38560627359831,1.15594752663932
34,VC DMSO 0.3%,3,0.00411522633744856,-,O11,-2.38560627359831,1.15436347018424
35,VC DMSO 0.3%,3,0.00411522633744856,-,O12,-2.38560627359831,1.12272318745759
36,VC DMSO 0.3%,3,0.00411522633744856,-,O23,-2.38560627359831,1.14043185748312
37,VC DMSO 0.3%,3,0.00411522633744856,-,O24,-2.38560627359831,1.2074030485668
38,VC DMSO 0.3%,3,0.00411522633744856,-,P11,-2.38560627359831,1.13795070813098
39,VC DMSO 0.3%,3,0.00411522633744856,-,P23,-2.38560627359831,1.1651143934295
40,VC DMSO 0.3%,3,0.0123456790123457,-,A9,-1.90848501887865,1.26353456043958
41,VC DMSO 0.3%,3,0.0123456790123457,-,A10,-1.90848501887865,1.26096939239676
42,VC DMSO 0.3%,3,0.0123456790123457,-,A21,-1.90848501887865,1.40279159292897
43,VC DMSO 0.3%,3,0.0123456790123457,-,A22,-1.90848501887865,1.44097364318797
44,VC DMSO 0.3%,3,0.0123456790123457,-,B9,-1.90848501887865,1.21113597727527
45,VC DMSO 0.3%,3,0.0123456790123457,-,B21,-1.90848501887865,1.19885147092938
46,VC DMSO 0.3%,3,0.0123456790123457,-,E22,-1.90848501887865,1.15404730165612
47,VC DMSO 0.3%,3,0.0123456790123457,-,F9,-1.90848501887865,1.11412589682761
48,VC DMSO 0.3%,3,0.0123456790123457,-,F21,-1.90848501887865,1.13240478611002
49,VC DMSO 0.3%,3,0.0123456790123457,-,G9,-1.90848501887865,1.1192780609277
50,VC DMSO 0.3%,3,0.0123456790123457,-,G10,-1.90848501887865,1.14032794869089
51,VC DMSO 0.3%,3,0.0123456790123457,-,G21,-1.90848501887865,1.09845387951806
52,VC DMSO 0.3%,3,0.0123456790123457,-,G22,-1.90848501887865,1.19997745506626
53,VC DMSO 0.3%,3,0.0123456790123457,-,H9,-1.90848501887865,1.08520848296979
54,VC DMSO 0.3%,3,0.0123456790123457,-,H21,-1.90848501887865,1.12137941634682
55,VC DMSO 0.3%,3,0.0123456790123457,-,I9,-1.90848501887865,1.10638607604972
56,VC DMSO 0.3%,3,0.0123456790123457,-,I10,-1.90848501887865,1.11894882268331
57,VC DMSO 0.3%,3,0.0123456790123457,-,I21,-1.90848501887865,1.12635993872003
58,VC DMSO 0.3%,3,0.0123456790123457,-,I22,-1.90848501887865,1.15172276693077
59,VC DMSO 0.3%,3,0.0123456790123457,-,J9,-1.90848501887865,1.12134889095036
60,VC DMSO 0.3%,3,0.0123456790123457,-,J21,-1.90848501887865,1.10707636162493
61,VC DMSO 0.3%,3,0.0123456790123457,-,K9,-1.90848501887865,1.07285246271465
62,VC DMSO 0.3%,3,0.0123456790123457,-,K10,-1.90848501887865,1.03947742778778
63,VC DMSO 0.3%,3,0.0123456790123457,-,K21,-1.90848501887865,1.12709832497896
64,VC DMSO 0.3%,3,0.0123456790123457,-,K22,-1.90848501887865,1.12869896370437
65,VC DMSO 0.3%,3,0.0123456790123457,-,L9,-1.90848501887865,1.09692146995763
66,VC DMSO 0.3%,3,0.0123456790123457,-,L21,-1.90848501887865,1.08673755604893
