,vc,br,conc,cond,well,log10conc,dose_conds_rlu
1,VC DMSO 0.3%,1,0.00411522633744856,-,A11,-2.38560627359831,1.04512934172083
2,VC DMSO 0.3%,1,0.00411522633744856,-,A12,-2.38560627359831,1.02706188719641
3,VC DMSO 0.3%,1,0.00411522633744856,-,A23,-2.38560627359831,1.1871871714164
4,VC DMSO 0.3%,1,0.00411522633744856,-,A24,-2.38560627359831,1.16129708327068
5,VC DMSO 0.3%,1,0.00411522633744856,-,B11,-2.38560627359831,1.06781165703891
6,VC DMSO 0.3%,1,0.00411522633744856,-,B23,-2.38560627359831,1.04356683547756
7,VC DMSO 0.3%,1,0.00411522633744856,-,E24,-2.38560627359831,1.11004547564063
8,VC DMSO 0.3%,1,0.00411522633744856,-,F11,-2.38560627359831,1.07953278088718
9,VC DMSO 0.3%,1,0.00411522633744856,-,F23,-2.38560627359831,1.07181826536124
10,VC DMSO 0.3%,1,0.00411522633744856,-,G11,-2.38560627359831,1.08178664364465
11,VC DMSO 0.3%,1,0.00411522633744856,-,G12,-2.38560627359831,1.10554549852204
12,VC DMSO 0.3%,1,0.00411522633744856,-,G23,-2.38560627359831,1.11309640761168
13,VC DMSO 0.3%,1,0.00411522633744856,-,G24,-2.38560627359831,1.10017052071674
14,VC DMSO 0.3%,1,0.00411522633744856,-,H11,-2.38560627359831,1.08958166001465
15,VC DMSO 0.3%,1,0.00411522633744856,-,H23,-2.38560627359831,1.05930786640216
16,VC DMSO 0.3%,1,0.00411522633744856,-,I11,-2.38560627359831,1.10556971645688
17,VC DMSO 0.3%,1,0.00411522633744856,-,I12,-2.38560627359831,1.14976895894557
18,VC DMSO 0.3%,1,0.00411522633744856,-,I23,-2.38560627359831,1.06282290009799
19,VC DMSO 0.3%,1,0.00411522633744856,-,I24,-2.38560627359831,1.18537646549172
20,VC DMSO 0.3%,1,0.00411522633744856,-,J11,-2.38560627359831,1.15549121189136
21,VC DMSO 0.3%,1,0.00411522633744856,-,J23,-2.38560627359831,1.11697466746418
22,VC DMSO 0.3%,1,0.00411522633744856,-,K11,-2.38560627359831,1.12953769927641
23,VC DMSO 0.3%,1,0.00411522633744856,-,K12,-2.38560627359831,1.12798205570666
24,VC DMSO 0.3%,1,0.00411522633744856,-,K23,-2.38560627359831,1.17706844619999
25,VC DMSO 0.3%,1,0.00411522633744856,-,K24,-2.38560627359831,1.19237183992027
26,VC DMSO 0.3%,1,0.00411522633744856,-,L11,-2.38560627359831,1.20221208122279
27,VC DMSO 0.3%,1,0.00411522633744856,-,L23,-2.38560627359831,1.13533072405935
28,VC DMSO 0.3%,1,0.00411522633744856,-,M11,-2.38560627359831,1.20862118021023
29,VC DMSO 0.3%,1,0.00411522633744856,-,M12,-2.38560627359831,1.19668788623301
30,VC DMSO 0.3%,1,0.00411522633744856,-,M23,-2.38560627359831,1.2356176242382
31,VC DMSO 0.3%,1,0.00411522633744856,-,M24,-2.38560627359831,1.22591206238709
32,VC DMSO 0.3%,1,0.00411522633744856,-,N11,-2.38560627359831,1.1876708966793
33,VC DMSO 0.3%,1,0.00411522633744856,-,N23,-2.38560627359831,1.16132355863673
34,VC DMSO 0.3%,1,0.00411522633744856,-,O11,-2.38560627359831,1.3060699762543
35,VC DMSO 0.3%,1,0.00411522633744856,-,O12,-2.38560627359831,1.2562385105439
36,VC DMSO 0.3%,1,0.00411522633744856,-,O23,-2.38560627359831,1.16669181450289
37,VC DMSO 0.3%,1,0.00411522633744856,-,O24,-2.38560627359831,1.19291999080326
38,VC DMSO 0.3%,1,0.00411522633744856,-,P11,-2.38560627359831,1.31745801770222
39,VC DMSO 0.3%,1,0.00411522633744856,-,P23,-2.38560627359831,1.19987853284778
40,VC DMSO 0.3%,1,0.0123456790123457,-,A9,-1.90848501887865,1.06992256748707
41,VC DMSO 0.3%,1,0.0123456790123457,-,A10,-1.90848501887865,1.07616518647444
42,VC DMSO 0.3%,1,0.0123456790123457,-,A21,-1.90848501887865,1.18006624203106
43,VC DMSO 0.3%,1,0.0123456790123457,-,A22,-1.90848501887865,1.16106686660342
44,VC DMSO 0.3%,1,0.0123456790123457,-,B9,-1.90848501887865,1.03440577548628
45,VC DMSO 0.3%,1,0.0123456790123457,-,B21,-1.90848501887865,1.14937096313199
46,VC DMSO 0.3%,1,0.0123456790123457,-,E22,-1.90848501887865,1.14884098764318
47,VC DMSO 0.3%,1,0.0123456790123457,-,F9,-1.90848501887865,1.09494701856004
48,VC DMSO 0.3%,1,0.0123456790123457,-,F21,-1.90848501887865,1.09158957380801
49,VC DMSO 0.3%,1,0.0123456790123457,-,G9,-1.90848501887865,1.1086735531954
50,VC DMSO 0.3%,1,0.0123456790123457,-,G10,-1.90848501887865,1.11882284127256
51,VC DMSO 0.3%,1,0.0123456790123457,-,G21,-1.90848501887865,1.07966248608813
52,VC DMSO 0.3%,1,0.0123456790123457,-,G22,-1.90848501887865,1.10929496704331
53,VC DMSO 0.3%,1,0.0123456790123457,-,H9,-1.90848501887865,1.08611008690513
54,VC DMSO 0.3%,1,0.0123456790123457,-,H21,-1.90848501887865,1.08373866161291
55,VC DMSO 0.3%,1,0.0123456790123457,-,I9,-1.90848501887865,1.09696676385458
56,VC DMSO 0.3%,1,0.0123456790123457,-,I10,-1.90848501887865,1.16346866470043
57,VC DMSO 0.3%,1,0.0123456790123457,-,I21,-1.90848501887865,1.11875588217527
58,VC DMSO 0.3%,1,0.0123456790123457,-,I22,-1.90848501887865,1.11933537189486
59,VC DMSO 0.3%,1,0.0123456790123457,-,J9,-1.90848501887865,1.12971486992534
60,VC DMSO 0.3%,1,0.0123456790123457,-,J21,-1.90848501887865,1.11290015415455
61,VC DMSO 0.3%,1,0.0123456790123457,-,K9,-1.90848501887865,1.12856680217839
62,VC DMSO 0.3%,1,0.0123456790123457,-,K10,-1.90848501887865,1.16185826874019
63,VC DMSO 0.3%,1,0.0123456790123457,-,K21,-1.90848501887865,1.12272112414226
64,VC DMSO 0.3%,1,0.0123456790123457,-,K22,-1.90848501887865,1.23788653550418
65,VC DMSO 0.3%,1,0.0123456790123457,-,L9,-1.90848501887865,1.16692933076584
66,VC DMSO 0.3%,1,0.0123456790123457,-,L21,-1.90848501887865,1.13054227114362
67,VC DMSO 0.3%,1,0.0123456790123457,-,M9,-1.90848501887865,1.18295506838829
68,VC DMSO 0.3%,1,0.0123456790123457,-,M10,-1.90848501887865,1.2220588096149
69,VC DMSO 0.3%,1,0.0123456790123457,-,M21,-1.90848501887865,1.21841107139719
70,VC DMSO 0.3%,1,0.0123456790123457,-,M22,-1.90848501887865,1.20191672803311
71,VC DMSO 0.3%,1,0.0123456790123457,-,N9,-1.90848501887865,1.21143641823498
72,VC DMSO 0.3%,1,0.0123456790123457,-,N21,-1.90848501887865,1.25953679856471
73,VC DMSO 0.3%,1,0.0123456790123457,-,O9,-1.90848501887865,1.23731778833732
74,VC DMSO 0.3%,1,0.0123456790123457,-,O10,-1.90848501887865,1.29782344807702
75,VC DMSO 0.3%,1,0.0123456790123457,-,O21,-1.90848501887865,1.26850961223991
76,VC DMSO 0.3%,1,0.0123456790123457,-,O22,-1.90848501887865,1.23459631556629
77,VC DMSO 0.3%,1,0.0123456790123457,-,P9,-1.90848501887865,1.22665592109095
78,VC DMSO 0.3%,1,0.0123456790123457,-,P21,-1.90848501887865,1.17435338730181
79,VC DMSO 0.3%,1,0.037037037037037,-,A7,-1.43136376415899,1.05765726456426
80,VC DMSO 0.3%,1,0.037037037037037,-,A8,-1.43136376415899,1.02855755467675
81,VC DMSO 0.3%,1,0.037037037037037,-,A19,-1.43136376415899,1.14178390002391
82,VC DMSO 0.3%,1,0.037037037037037,-,A20,-1.43136376415899,1.11795554250113
83,VC DMSO 0.3%,1,0.037037037037037,-,B7,-1.43136376415899,1.07173486977869
84,VC DMSO 0.3%,1,0.037037037037037,-,B19,-1.43136376415899,1.11975703122726
85,VC DMSO 0.3%,1,0.037037037037037,-,E20,-1.43136376415899,1.08770977723928
86,VC DMSO 0.3%,1,0.037037037037037,-,F7,-1.43136376415899,1.11209472325256
87,VC DMSO 0.3%,1,0.037037037037037,-,F19,-1.43136376415899,1.09212955848136
88,VC DMSO 0.3%,1,0.037037037037037,-,G7,-1.43136376415899,1.08692299299801
89,VC DMSO 0.3%,1,0.037037037037037,-,G8,-1.43136376415899,1.08018498457846
90,VC DMSO 0.3%,1,0.037037037037037,-,G19,-1.43136376415899,1.12327294599782
91,VC DMSO 0.3%,1,0.037037037037037,-,G20,-1.43136376415899,1.112417818676
92,VC DMSO 0.3%,1,0.037037037037037,-,H7,-1.43136376415899,1.09414241218081
93,VC DMSO 0.3%,1,0.037037037037037,-,H19,-1.43136376415899,1.09298967360157
94,VC DMSO 0.3%,1,0.037037037037037,-,I7,-1.43136376415899,1.12749320874498
95,VC DMSO 0.3%,1,0.037037037037037,-,I8,-1.43136376415899,1.086362640831
96,VC DMSO 0.3%,1,0.037037037037037,-,I19,-1.43136376415899,1.08394214623524
97,VC DMSO 0.3%,1,0.037037037037037,-,I20,-1.43136376415899,1.13802648452876
98,VC DMSO 0.3%,1,0.037037037037037,-,J7,-1.43136376415899,1.12470932530876
99,VC DMSO 0.3%,1,0.037037037037037,-,J19,-1.43136376415899,1.1068550141755
100,VC DMSO 0.3%,1,0.037037037037037,-,K7,-1.43136376415899,1.12334664485199
101,VC DMSO 0.3%,1,0.037037037037037,-,K8,-1.43136376415899,1.13637835186923
102,VC DMSO 0.3%,1,0.037037037037037,-,K19,-1.43136376415899,1.13008413268342
103,VC DMSO 0.3%,1,0.037037037037037,-,K20,-1.43136376415899,1.17115143287271
104,VC DMSO 0.3%,1,0.037037037037037,-,L7,-1.43136376415899,1.15912673746302
105,VC DMSO 0.3%,1,0.037037037037037,-,L19,-1.43136376415899,1.16042983846895
106,VC DMSO 0.3%,1,0.037037037037037,-,M7,-1.43136376415899,1.16954965605444
107,VC DMSO 0.3%,1,0.037037037037037,-,M8,-1.43136376415899,1.11854282270828
108,VC DMSO 0.3%,1,0.037037037037037,-,M19,-1.43136376415899,1.24557519902703
109,VC DMSO 0.3%,1,0.037037037037037,-,M20,-1.43136376415899,1.1774485302704
110,VC DMSO 0.3%,1,0.037037037037037,-,N7,-1.43136376415899,1.21350057465395
111,VC DMSO 0.3%,1,0.037037037037037,-,N19,-1.43136376415899,1.25645214585985
112,VC DMSO 0.3%,1,0.037037037037037,-,O7,-1.43136376415899,1.25722990218387
113,VC DMSO 0.3%,1,0.037037037037037,-,O8,-1.43136376415899,1.14317201079707
