,vc,br,conc,cond,well,log10conc,dose_conds_rlu
30,VC DMSO 0.3%,1,1,Gc_07,B1,0,0.908777809377656
31,VC DMSO 0.3%,1,0.00411522633744856,Gc_23,B23,-2.38560627359831,0.977507138175071
32,VC DMSO 0.3%,1,0.0123456790123457,Gc_23,B21,-1.90848501887865,0.91242492437794
33,VC DMSO 0.3%,1,0.037037037037037,Gc_23,B19,-1.43136376415899,0.949248884639714
34,VC DMSO 0.3%,1,0.111111111111111,Gc_23,B17,-0.954242509439325,0.930654700112952
35,VC DMSO 0.3%,1,0.333333333333333,Gc_23,B15,-0.477121254719662,0.856570681034745
36,VC DMSO 0.3%,1,1,Gc_23,B13,0,0.746671345383998
37,VC DMSO 0.3%,1,0.00411522633744856,Gc_25,C11,-2.38560627359831,0.813541839261268
38,VC DMSO 0.3%,1,0.0123456790123457,Gc_25,C9,-1.90848501887865,0.818724646074748
39,VC DMSO 0.3%,1,0.037037037037037,Gc_25,C7,-1.43136376415899,0.778241764008621
40,VC DMSO 0.3%,1,0.111111111111111,Gc_25,C5,-0.954242509439325,0.764751704524534
41,VC DMSO 0.3%,1,0.333333333333333,Gc_25,C3,-0.477121254719662,0.798382499984727
42,VC DMSO 0.3%,1,1,Gc_25,C1,0,0.962767542875345
43,VC DMSO 0.3%,1,0.00411522633744856,Gc_26,C12,-2.38560627359831,0.764900527701365
44,VC DMSO 0.3%,1,0.0123456790123457,Gc_26,C10,-1.90848501887865,0.823032867809113
45,VC DMSO 0.3%,1,0.037037037037037,Gc_26,C8,-1.43136376415899,0.797795784633641
46,VC DMSO 0.3%,1,0.111111111111111,Gc_26,C6,-0.954242509439325,0.705648884414097
47,VC DMSO 0.3%,1,0.333333333333333,Gc_26,C4,-0.477121254719662,0.748174146814431
48,VC DMSO 0.3%,1,1,Gc_26,C2,0,0.736319930882841
49,VC DMSO 0.3%,1,0.00411522633744856,Gc_28,C23,-2.38560627359831,1.14428613539798
50,VC DMSO 0.3%,1,0.0123456790123457,Gc_28,C21,-1.90848501887865,0.975567478777038
51,VC DMSO 0.3%,1,0.037037037037037,Gc_28,C19,-1.43136376415899,0.891519241040456
52,VC DMSO 0.3%,1,0.111111111111111,Gc_28,C17,-0.954242509439325,0.879965291328378
53,VC DMSO 0.3%,1,0.333333333333333,Gc_28,C15,-0.477121254719662,0.832993354992683
54,VC DMSO 0.3%,1,1,Gc_28,C13,0,0.74377525558897
55,VC DMSO 0.3%,1,0.00411522633744856,Gc_32,C24,-2.38560627359831,1.09859260344954
56,VC DMSO 0.3%,1,0.0123456790123457,Gc_32,C22,-1.90848501887865,0.979663209123425
57,VC DMSO 0.3%,1,0.037037037037037,Gc_32,C20,-1.43136376415899,0.932914641530454
58,VC DMSO 0.3%,1,0.111111111111111,Gc_32,C18,-0.954242509439325,0.878164964776803
59,VC DMSO 0.3%,1,0.333333333333333,Gc_32,C16,-0.477121254719662,0.910011274113038
60,VC DMSO 0.3%,1,1,Gc_32,C14,0,0.809952367526723
61,VC DMSO 0.3%,1,0.00411522633744856,Gc_33,D11,-2.38560627359831,0.887314197506464
62,VC DMSO 0.3%,1,0.0123456790123457,Gc_33,D9,-1.90848501887865,0.918618653119479
63,VC DMSO 0.3%,1,0.037037037037037,Gc_33,D7,-1.43136376415899,0.81494273636535
64,VC DMSO 0.3%,1,0.111111111111111,Gc_33,D5,-0.954242509439325,0.866616863134994
65,VC DMSO 0.3%,1,0.333333333333333,Gc_33,D3,-0.477121254719662,0.879519286211693
66,VC DMSO 0.3%,1,1,Gc_33,D1,0,0.935660069455426
67,VC DMSO 0.3%,1,0.00411522633744856,Gc_34,D23,-2.38560627359831,1.02127555489769
68,VC DMSO 0.3%,1,0.0123456790123457,Gc_34,D21,-1.90848501887865,1.04724276465703
69,VC DMSO 0.3%,1,0.037037037037037,Gc_34,D19,-1.43136376415899,0.919808353847582
70,VC DMSO 0.3%,1,0.111111111111111,Gc_34,D17,-0.954242509439325,0.865617724075353
71,VC DMSO 0.3%,1,0.333333333333333,Gc_34,D15,-0.477121254719662,0.839051369212216
72,VC DMSO 0.3%,1,1,Gc_34,D13,0,0.749060044752808
73,VC DMSO 0.3%,1,0.00411522633744856,Gc_35,E11,-2.38560627359831,0.836161460099756
74,VC DMSO 0.3%,1,0.0123456790123457,Gc_35,E9,-1.90848501887865,0.857444792374473
75,VC DMSO 0.3%,1,0.037037037037037,Gc_35,E7,-1.43136376415899,0.82558354066383
76,VC DMSO 0.3%,1,0.111111111111111,Gc_35,E5,-0.954242509439325,0.876015197608653
77,VC DMSO 0.3%,1,0.333333333333333,Gc_35,E3,-0.477121254719662,0.856098593518445
78,VC DMSO 0.3%,1,1,Gc_35,E1,0,1.06003441353882
79,VC DMSO 0.3%,1,0.00411522633744856,Gc_36,E12,-2.38560627359831,0.844977954013058
80,VC DMSO 0.3%,1,0.0123456790123457,Gc_36,E10,-1.90848501887865,0.852566488079958
81,VC DMSO 0.3%,1,0.037037037037037,Gc_36,E8,-1.43136376415899,0.840235560699402
82,VC DMSO 0.3%,1,0.111111111111111,Gc_36,E6,-0.954242509439325,0.833072715976454
83,VC DMSO 0.3%,1,0.333333333333333,Gc_36,E4,-0.477121254719662,0.816422999115992
84,VC DMSO 0.3%,1,1,Gc_36,E2,0,0.829397856447615
85,VC DMSO 0.3%,1,0.00411522633744856,Gc_37,E23,-2.38560627359831,1.03302235228837
86,VC DMSO 0.3%,1,0.0123456790123457,Gc_37,E21,-1.90848501887865,1.03692652717048
87,VC DMSO 0.3%,1,0.037037037037037,Gc_37,E19,-1.43136376415899,1.02649849216221
88,VC DMSO 0.3%,1,0.111111111111111,Gc_37,E17,-0.954242509439325,0.908068485361717
