,vc,br,conc,cond,well,log10conc,dose_conds_rlu
1,VC DMSO 0.3%,3,0.00411522633744856,Ak_07,A23,-2.38560627359831,1.10678798806888
2,VC DMSO 0.3%,3,0.0123456790123457,Ak_07,A21,-1.90848501887865,1.16559953415652
3,VC DMSO 0.3%,3,0.037037037037037,Ak_07,A19,-1.43136376415899,1.13026980982606
4,VC DMSO 0.3%,3,0.111111111111111,Ak_07,A17,-0.954242509439325,1.13510294062617
5,VC DMSO 0.3%,3,0.333333333333333,Ak_07,A15,-0.477121254719662,1.15137976852234
6,VC DMSO 0.3%,3,1,Ak_07,A13,0,1.08045378642607
7,VC DMSO 0.3%,3,0.00411522633744856,Am_72,A11,-2.38560627359831,1.08321507113341
8,VC DMSO 0.3%,3,0.0123456790123457,Am_72,A9,-1.90848501887865,1.04216848250726
9,VC DMSO 0.3%,3,0.037037037037037,Am_72,A7,-1.43136376415899,1.09449563943591
10,VC DMSO 0.3%,3,0.111111111111111,Am_72,A5,-0.954242509439325,1.02397161690222
11,VC DMSO 0.3%,3,0.333333333333333,Am_72,A3,-0.477121254719662,0.92667669821487
12,VC DMSO 0.3%,3,1,Am_72,A1,0,0.881901244071524
13,VC DMSO 0.3%,3,0.00411522633744856,Am_86,A12,-2.38560627359831,1.06039939275245
14,VC DMSO 0.3%,3,0.0123456790123457,Am_86,A10,-1.90848501887865,1.03678547166312
15,VC DMSO 0.3%,3,0.037037037037037,Am_86,A8,-1.43136376415899,1.06687222067361
16,VC DMSO 0.3%,3,0.111111111111111,Am_86,A6,-0.954242509439325,1.00736098431418
17,VC DMSO 0.3%,3,0.333333333333333,Am_86,A4,-0.477121254719662,0.939939525516252
18,VC DMSO 0.3%,3,1,Am_86,A2,0,0.880744827730306
19,VC DMSO 0.3%,3,0.00411522633744856,Fh_12,A24,-2.38560627359831,1.03334622889048
20,VC DMSO 0.3%,3,0.0123456790123457,Fh_12,A22,-1.90848501887865,1.11853517644468
21,VC DMSO 0.3%,3,0.037037037037037,Fh_12,A20,-1.43136376415899,1.10579304343521
22,VC DMSO 0.3%,3,0.111111111111111,Fh_12,A18,-0.954242509439325,1.09796093991692
23,VC DMSO 0.3%,3,0.333333333333333,Fh_12,A16,-0.477121254719662,1.11595752112276
24,VC DMSO 0.3%,3,1,Fh_12,A14,0,1.06429223553085
25,VC DMSO 0.3%,3,0.00411522633744856,Gc_07,B11,-2.38560627359831,1.01606786167811
26,VC DMSO 0.3%,3,0.0123456790123457,Gc_07,B9,-1.90848501887865,0.987546259976792
27,VC DMSO 0.3%,3,0.037037037037037,Gc_07,B7,-1.43136376415899,1.02071768262948
28,VC DMSO 0.3%,3,0.111111111111111,Gc_07,B5,-0.954242509439325,0.964589497862661
29,VC DMSO 0.3%,3,0.333333333333333,Gc_07,B3,-0.477121254719662,0.974997713471918
30,VC DMSO 0.3%,3,1,Gc_07,B1,0,0.937599492119747
31,VC DMSO 0.3%,3,0.00411522633744856,Gc_23,B23,-2.38560627359831,1.0409490392278
32,VC DMSO 0.3%,3,0.0123456790123457,Gc_23,B21,-1.90848501887865,1.0480277599176
33,VC DMSO 0.3%,3,0.037037037037037,Gc_23,B19,-1.43136376415899,1.00955738733704
34,VC DMSO 0.3%,3,0.111111111111111,Gc_23,B17,-0.954242509439325,1.06338204360663
35,VC DMSO 0.3%,3,0.333333333333333,Gc_23,B15,-0.477121254719662,1.02736120451727
36,VC DMSO 0.3%,3,1,Gc_23,B13,0,0.916173099052098
37,VC DMSO 0.3%,3,0.00411522633744856,Gc_25,C11,-2.38560627359831,0.983229483363577
38,VC DMSO 0.3%,3,0.0123456790123457,Gc_25,C9,-1.90848501887865,1.01768303095616
39,VC DMSO 0.3%,3,0.037037037037037,Gc_25,C7,-1.43136376415899,0.968202151282439
40,VC DMSO 0.3%,3,0.111111111111111,Gc_25,C5,-0.954242509439325,0.975241355606875
41,VC DMSO 0.3%,3,0.333333333333333,Gc_25,C3,-0.477121254719662,0.869571711616657
42,VC DMSO 0.3%,3,1,Gc_25,C1,0,0.86894493585169
43,VC DMSO 0.3%,3,0.00411522633744856,Gc_26,C12,-2.38560627359831,0.939653427328033
44,VC DMSO 0.3%,3,0.0123456790123457,Gc_26,C10,-1.90848501887865,0.987996120834182
45,VC DMSO 0.3%,3,0.037037037037037,Gc_26,C8,-1.43136376415899,0.957408071997074
46,VC DMSO 0.3%,3,0.111111111111111,Gc_26,C6,-0.954242509439325,0.911570182173797
47,VC DMSO 0.3%,3,0.333333333333333,Gc_26,C4,-0.477121254719662,0.84178206522335
48,VC DMSO 0.3%,3,1,Gc_26,C2,0,0.719195481185421
49,VC DMSO 0.3%,3,0.00411522633744856,Gc_28,C23,-2.38560627359831,1.1049183448329
50,VC DMSO 0.3%,3,0.0123456790123457,Gc_28,C21,-1.90848501887865,1.05795687025725
51,VC DMSO 0.3%,3,0.037037037037037,Gc_28,C19,-1.43136376415899,1.0510877391419
52,VC DMSO 0.3%,3,0.111111111111111,Gc_28,C17,-0.954242509439325,1.0508548335382
53,VC DMSO 0.3%,3,0.333333333333333,Gc_28,C15,-0.477121254719662,1.01966853160633
54,VC DMSO 0.3%,3,1,Gc_28,C13,0,1.00233633743881
55,VC DMSO 0.3%,3,0.00411522633744856,Gc_32,C24,-2.38560627359831,1.05708788297078
56,VC DMSO 0.3%,3,0.0123456790123457,Gc_32,C22,-1.90848501887865,1.02245360286128
57,VC DMSO 0.3%,3,0.037037037037037,Gc_32,C20,-1.43136376415899,1.00493633285419
58,VC DMSO 0.3%,3,0.111111111111111,Gc_32,C18,-0.954242509439325,1.02335595438022
59,VC DMSO 0.3%,3,0.333333333333333,Gc_32,C16,-0.477121254719662,1.08678564719172
60,VC DMSO 0.3%,3,1,Gc_32,C14,0,0.973357327280304
61,VC DMSO 0.3%,3,0.00411522633744856,Gc_33,D11,-2.38560627359831,1.03787840440834
62,VC DMSO 0.3%,3,0.0123456790123457,Gc_33,D9,-1.90848501887865,1.00033257146843
63,VC DMSO 0.3%,3,0.037037037037037,Gc_33,D7,-1.43136376415899,0.983033738563246
64,VC DMSO 0.3%,3,0.111111111111111,Gc_33,D5,-0.954242509439325,0.988740137847227
65,VC DMSO 0.3%,3,0.333333333333333,Gc_33,D3,-0.477121254719662,0.952800968718073
66,VC DMSO 0.3%,3,1,Gc_33,D1,0,0.96272035682646
67,VC DMSO 0.3%,3,0.00411522633744856,Gc_34,D23,-2.38560627359831,1.05140591599057
68,VC DMSO 0.3%,3,0.0123456790123457,Gc_34,D21,-1.90848501887865,1.0072586806012
