"","vc","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"1","VC DMSO 0.3%",0.00411522633744856,"-",-2.38560627359831,1.13620625941237,0.071715874618189,1.14278924912997,0.0690887812323499
"2","VC DMSO 0.3%",0.0123456790123457,"-",-1.90848501887865,1.12872410455686,0.034097816835561,1.15154371618344,0.0782436691171448
"3","VC DMSO 0.3%",0.037037037037037,"-",-1.43136376415899,1.11187343677402,0.0342194904141791,1.12989944640725,0.0850573578198904
"4","VC DMSO 0.3%",0.111111111111111,"-",-0.954242509439325,1.11242002723447,0.0515719320206233,1.12342362488544,0.0755373248323519
"5","VC DMSO 0.3%",0.333333333333333,"-",-0.477121254719663,1.10289335368926,0.0559019698078218,1.11517146941516,0.0736767069870674
"6","VC DMSO 0.3%",1,"-",0,1.11132555928574,0.0392200888355626,1.1257684076064,0.0597236342625134
"7","VC DMSO 0.3%",0.00411522633744856,"Mo_65",-2.38560627359831,1.0777047443208,0,1.0777047443208,NA
"8","VC DMSO 0.3%",0.0123456790123457,"Mo_65",-1.90848501887865,1.05142880838093,0,1.05142880838093,NA
"9","VC DMSO 0.3%",0.037037037037037,"Mo_65",-1.43136376415899,1.06456647427344,0,1.06456647427344,NA
"10","VC DMSO 0.3%",0.111111111111111,"Mo_65",-0.954242509439325,1.02999001262501,0,1.02999001262501,NA
"11","VC DMSO 0.3%",0.333333333333333,"Mo_65",-0.477121254719663,1.02351990197408,0,1.02351990197408,NA
"12","VC DMSO 0.3%",1,"Mo_65",0,1.04242993836134,0,1.04242993836134,NA
"13","VC DMSO 0.3%",0.00411522633744856,"Pt_48",-2.38560627359831,1.0567521919671,0,1.0567521919671,NA
"14","VC DMSO 0.3%",0.0123456790123457,"Pt_48",-1.90848501887865,0.99825333715958,0,0.99825333715958,NA
"15","VC DMSO 0.3%",0.037037037037037,"Pt_48",-1.43136376415899,1.03574038403935,0,1.03574038403935,NA
"16","VC DMSO 0.3%",0.111111111111111,"Pt_48",-0.954242509439325,0.985787677820315,0,0.985787677820315,NA
"17","VC DMSO 0.3%",0.333333333333333,"Pt_48",-0.477121254719663,0.96750318258175,0,0.96750318258175,NA
"18","VC DMSO 0.3%",1,"Pt_48",0,0.953323430245172,0,0.953323430245172,NA
"19","VC DMSO 0.3%",0.00411522633744856,"Sb_24",-2.38560627359831,1.07090320911928,0,1.07090320911928,NA
"20","VC DMSO 0.3%",0.0123456790123457,"Sb_24",-1.90848501887865,1.09500568937792,0,1.09500568937792,NA
"21","VC DMSO 0.3%",0.037037037037037,"Sb_24",-1.43136376415899,1.12203597272469,0,1.12203597272469,NA
"22","VC DMSO 0.3%",0.111111111111111,"Sb_24",-0.954242509439325,1.06259686355259,0,1.06259686355259,NA
"23","VC DMSO 0.3%",0.333333333333333,"Sb_24",-0.477121254719663,1.03738878409816,0,1.03738878409816,NA
"24","VC DMSO 0.3%",1,"Sb_24",0,1.03699191444605,0,1.03699191444605,NA
"25","VC DMSO 0.3%",0.00411522633744856,"Sb_25",-2.38560627359831,1.05456890180211,0,1.05456890180211,NA
"26","VC DMSO 0.3%",0.0123456790123457,"Sb_25",-1.90848501887865,1.02193146901239,0,1.02193146901239,NA
"27","VC DMSO 0.3%",0.037037037037037,"Sb_25",-1.43136376415899,1.00859804471092,0,1.00859804471092,NA
"28","VC DMSO 0.3%",0.111111111111111,"Sb_25",-0.954242509439325,1.32702580236477,0,1.32702580236477,NA
"29","VC DMSO 0.3%",0.333333333333333,"Sb_25",-0.477121254719663,0.915688807139876,0,0.915688807139876,NA
"30","VC DMSO 0.3%",1,"Sb_25",0,0.476216388886143,0,0.476216388886143,NA
"31","VC DMSO 0.3%",0.00411522633744856,"Sb_26",-2.38560627359831,1.10378620581984,0,1.10378620581984,NA
"32","VC DMSO 0.3%",0.0123456790123457,"Sb_26",-1.90848501887865,1.126498727441,0,1.126498727441,NA
"33","VC DMSO 0.3%",0.037037037037037,"Sb_26",-1.43136376415899,1.03657955289516,0,1.03657955289516,NA
"34","VC DMSO 0.3%",0.111111111111111,"Sb_26",-0.954242509439325,1.04427185767325,0,1.04427185767325,NA
"35","VC DMSO 0.3%",0.333333333333333,"Sb_26",-0.477121254719663,1.0049235104055,0,1.0049235104055,NA
"36","VC DMSO 0.3%",1,"Sb_26",0,0.907420889938101,0,0.907420889938101,NA
"37","VC DMSO 0.3%",0.00411522633744856,"Sb_44",-2.38560627359831,1.01023837713292,0,1.01023837713292,NA
"38","VC DMSO 0.3%",0.0123456790123457,"Sb_44",-1.90848501887865,1.02002205292027,0,1.02002205292027,NA
"39","VC DMSO 0.3%",0.037037037037037,"Sb_44",-1.43136376415899,1.00691302207599,0,1.00691302207599,NA
"40","VC DMSO 0.3%",0.111111111111111,"Sb_44",-0.954242509439325,0.943465128261007,0,0.943465128261007,NA
"41","VC DMSO 0.3%",0.333333333333333,"Sb_44",-0.477121254719663,0.917198092200717,0,0.917198092200717,NA
"42","VC DMSO 0.3%",1,"Sb_44",0,1.01620005726776,0,1.01620005726776,NA
"43","VC DMSO 0.3%",0.00411522633744856,"Sp_35",-2.38560627359831,1.06657953463144,0,1.06657953463144,NA
"44","VC DMSO 0.3%",0.0123456790123457,"Sp_35",-1.90848501887865,1.03675997878873,0,1.03675997878873,NA
"45","VC DMSO 0.3%",0.037037037037037,"Sp_35",-1.43136376415899,0.951770316420553,0,0.951770316420553,NA
"46","VC DMSO 0.3%",0.111111111111111,"Sp_35",-0.954242509439325,0.929106844551415,0,0.929106844551415,NA
"47","VC DMSO 0.3%",0.333333333333333,"Sp_35",-0.477121254719663,0.876364902831197,0,0.876364902831197,NA
"48","VC DMSO 0.3%",1,"Sp_35",0,0.91145019220249,0,0.91145019220249,NA
"49","VC DMSO 0.3%",0.00411522633744856,"Sp_36",-2.38560627359831,1.04492403976976,0,1.04492403976976,NA
"50","VC DMSO 0.3%",0.0123456790123457,"Sp_36",-1.90848501887865,1.06837320834035,0,1.06837320834035,NA
"51","VC DMSO 0.3%",0.037037037037037,"Sp_36",-1.43136376415899,1.02071409505066,0,1.02071409505066,NA
"52","VC DMSO 0.3%",0.111111111111111,"Sp_36",-0.954242509439325,0.949086404134894,0,0.949086404134894,NA
