,vc,br,conc,cond,well,log10conc,dose_conds_rlu,dose_conds_rfu
1,VC DMSO 0.3%,1,0.00411522633744856,Ak_07,A23,-2.38560627359831,0.789372912440751,2.353113912899
2,VC DMSO 0.3%,1,0.0123456790123457,Ak_07,A21,-1.90848501887865,0.829055321351106,1.32982431371998
3,VC DMSO 0.3%,1,0.037037037037037,Ak_07,A19,-1.43136376415899,0.839762099448571,1.07614680164739
4,VC DMSO 0.3%,1,0.111111111111111,Ak_07,A17,-0.954242509439325,0.741061163610993,0.760903804217064
5,VC DMSO 0.3%,1,0.333333333333333,Ak_07,A15,-0.477121254719662,0.750767665676885,0.166180379347523
6,VC DMSO 0.3%,1,1,Ak_07,A13,0,0.613403510402371,0.370963314463279
7,VC DMSO 0.3%,1,0.00411522633744856,Am_72,A11,-2.38560627359831,0.578895076917685,-0.0883307607507293
8,VC DMSO 0.3%,1,0.0123456790123457,Am_72,A9,-1.90848501887865,0.560912599881351,0.947824001786084
9,VC DMSO 0.3%,1,0.037037037037037,Am_72,A7,-1.43136376415899,0.607201471649438,0.415858274310534
10,VC DMSO 0.3%,1,0.111111111111111,Am_72,A5,-0.954242509439325,0.580482397635564,0.737842894927118
11,VC DMSO 0.3%,1,0.333333333333333,Am_72,A3,-0.477121254719662,0.590431938618702,0.611649183109342
12,VC DMSO 0.3%,1,1,Am_72,A1,0,0.111357016518411,1.51562415447638
13,VC DMSO 0.3%,1,0.00411522633744856,Am_86,A12,-2.38560627359831,0.469323903264107,-0.0204916201970511
14,VC DMSO 0.3%,1,0.0123456790123457,Am_86,A10,-1.90848501887865,0.529504529155528,0.171147676414484
15,VC DMSO 0.3%,1,0.037037037037037,Am_86,A8,-1.43136376415899,0.557320677958438,0.443023329607109
16,VC DMSO 0.3%,1,0.111111111111111,Am_86,A6,-0.954242509439325,0.462396934886187,0.935152359957806
17,VC DMSO 0.3%,1,0.333333333333333,Am_86,A4,-0.477121254719662,0.497312166766864,0.349330563897742
18,VC DMSO 0.3%,1,1,Am_86,A2,0,0.209803565373637,-0.627934483634336
19,VC DMSO 0.3%,1,0.00411522633744856,Fh_12,A24,-2.38560627359831,0.668833484140475,2.46380158562146
20,VC DMSO 0.3%,1,0.0123456790123457,Fh_12,A22,-1.90848501887865,0.790237197256878,2.08492578796947
21,VC DMSO 0.3%,1,0.037037037037037,Fh_12,A20,-1.43136376415899,0.728818509357469,1.58964882531042
22,VC DMSO 0.3%,1,0.111111111111111,Fh_12,A18,-0.954242509439325,0.680483721814398,0.711627999970425
23,VC DMSO 0.3%,1,0.333333333333333,Fh_12,A16,-0.477121254719662,0.652762877725997,0.312735171618093
24,VC DMSO 0.3%,1,1,Fh_12,A14,0,0.691454112847358,0.492008180111855
25,VC DMSO 0.3%,1,0.00411522633744856,Gc_07,B11,-2.38560627359831,0.492405748740411,0.490141968970396
26,VC DMSO 0.3%,1,0.0123456790123457,Gc_07,B9,-1.90848501887865,0.58765631132966,0.683059836110057
27,VC DMSO 0.3%,1,0.037037037037037,Gc_07,B7,-1.43136376415899,0.591377710631068,0.803868290222145
28,VC DMSO 0.3%,1,0.111111111111111,Gc_07,B5,-0.954242509439325,0.523890848324108,0.261060099141901
29,VC DMSO 0.3%,1,0.333333333333333,Gc_07,B3,-0.477121254719662,0.513024145775351,1.15270597025849
30,VC DMSO 0.3%,1,1,Gc_07,B1,0,0.695684809504313,2.70597032047674
31,VC DMSO 0.3%,1,0.00411522633744856,Gc_23,B23,-2.38560627359831,0.662901020220553,2.35785931202767
32,VC DMSO 0.3%,1,0.0123456790123457,Gc_23,B21,-1.90848501887865,0.585499312985284,1.40538304606058
33,VC DMSO 0.3%,1,0.037037037037037,Gc_23,B19,-1.43136376415899,0.614567150990508,1.10716683390963
34,VC DMSO 0.3%,1,0.111111111111111,Gc_23,B17,-0.954242509439325,0.718143672375755,0.234127839894721
35,VC DMSO 0.3%,1,0.333333333333333,Gc_23,B15,-0.477121254719662,0.703554171644609,-0.226675339634884
36,VC DMSO 0.3%,1,1,Gc_23,B13,0,0.0810173006986085,-0.65606793165574
37,VC DMSO 0.3%,1,0.00411522633744856,Gc_25,C11,-2.38560627359831,0.631868606135529,0.195136763882737
38,VC DMSO 0.3%,1,0.0123456790123457,Gc_25,C9,-1.90848501887865,0.668884928702296,-0.147955628242483
39,VC DMSO 0.3%,1,0.037037037037037,Gc_25,C7,-1.43136376415899,0.686329564549714,0.511902604479645
40,VC DMSO 0.3%,1,0.111111111111111,Gc_25,C5,-0.954242509439325,0.772576581798825,0.735188197698933
