"","vc","br","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"1","VC DMSO 0.3%",1,0.00411522633744856,"-",-2.38560627359831,1.08787287882872,0.955493700089967,0.13794342583799,0.119474004519765,1.04573246253964,0.948789178302516,0.167419034594923,0.103516006122162
"2","VC DMSO 0.3%",1,0.0123456790123457,"-",-1.90848501887865,1.07271322975227,0.926280394461615,0.159328560467203,0.143559739342217,1.05559272827994,0.945386049713795,0.140688623777121,0.119154228998443
"3","VC DMSO 0.3%",1,0.037037037037037,"-",-1.43136376415899,1.09363950157941,0.981127331971324,0.113395817674666,0.0917304496068592,1.08099631767781,0.967804353012862,0.113447830426413,0.0953248812438908
"4","VC DMSO 0.3%",1,0.111111111111111,"-",-0.954242509439325,1.09241134156574,0.952712578490271,0.109100857026682,0.0665177355769797,1.07231304209327,0.938773776263357,0.131703993414298,0.0893648718556134
"5","VC DMSO 0.3%",1,0.333333333333333,"-",-0.477121254719663,1.0830014596809,0.945767746920765,0.13996501731485,0.0939730615631475,1.05674919748226,0.941392927185946,0.126841915378924,0.112510352976676
"6","VC DMSO 0.3%",1,1,"-",0,1.00509273375504,0.975277128895346,0.209253746474472,0.109252404823735,1.02925659694789,0.972185630246607,0.156074516796304,0.0919986330523277
"7","VC DMSO 0.3%",1,0.00411522633744856,"Pt_48",-2.38560627359831,0.78881641801345,0.938303377228061,0,0,0.78881641801345,0.938303377228061,NA,NA
"8","VC DMSO 0.3%",1,0.0123456790123457,"Pt_48",-1.90848501887865,0.800871709607331,1.03704463980799,0,0,0.800871709607331,1.03704463980799,NA,NA
"9","VC DMSO 0.3%",1,0.037037037037037,"Pt_48",-1.43136376415899,0.791196359236027,1.00052576925904,0,0,0.791196359236027,1.00052576925904,NA,NA
"10","VC DMSO 0.3%",1,0.111111111111111,"Pt_48",-0.954242509439325,0.744857602778741,0.80689438335872,0,0,0.744857602778741,0.80689438335872,NA,NA
"11","VC DMSO 0.3%",1,0.333333333333333,"Pt_48",-0.477121254719663,0.592164787959366,0.854958277388779,0,0,0.592164787959366,0.854958277388779,NA,NA
"12","VC DMSO 0.3%",1,1,"Pt_48",0,0.381646346959583,0.524700386525622,0,0,0.381646346959583,0.524700386525622,NA,NA
"13","VC DMSO 0.3%",1,0.00411522633744856,"Sb_24",-2.38560627359831,0.875884501373872,0.920492841058484,0,0,0.875884501373872,0.920492841058484,NA,NA
"14","VC DMSO 0.3%",1,0.0123456790123457,"Sb_24",-1.90848501887865,0.872397374573915,0.670380699066765,0,0,0.872397374573915,0.670380699066765,NA,NA
"15","VC DMSO 0.3%",1,0.037037037037037,"Sb_24",-1.43136376415899,0.983779086234524,0.705011432934802,0,0,0.983779086234524,0.705011432934802,NA,NA
"16","VC DMSO 0.3%",1,0.111111111111111,"Sb_24",-0.954242509439325,0.933381798868091,0.828949721405693,0,0,0.933381798868091,0.828949721405693,NA,NA
"17","VC DMSO 0.3%",1,0.333333333333333,"Sb_24",-0.477121254719663,0.603184737019318,0.54878040493911,0,0,0.603184737019318,0.54878040493911,NA,NA
"18","VC DMSO 0.3%",1,1,"Sb_24",0,0.187853251561494,0.697505694569235,0,0,0.187853251561494,0.697505694569235,NA,NA
"19","VC DMSO 0.3%",1,0.00411522633744856,"Sb_25",-2.38560627359831,0.801793835466174,0.936031104042206,0,0,0.801793835466174,0.936031104042206,NA,NA
