,vc,br,conc,cond,well,log10conc,dose_conds_rlu,dose_conds_rfu
165,VC DMSO 0.3%,3,0.037037037037037,Ko_30,I20,-1.43136376415899,1.06814721565533,1.03020623479657
166,VC DMSO 0.3%,3,0.111111111111111,Ko_30,I18,-0.954242509439325,1.06885543995456,0.96374612997736
167,VC DMSO 0.3%,3,0.333333333333333,Ko_30,I16,-0.477121254719662,-0.182576607269053,-0.00585903823866268
168,VC DMSO 0.3%,3,1,Ko_30,I14,0,-0.225695924043764,-0.0493741452414318
169,VC DMSO 0.3%,3,0.00411522633744856,Ko_43,J11,-2.38560627359831,0.503556128399073,1.26680750449002
170,VC DMSO 0.3%,3,0.0123456790123457,Ko_43,J9,-1.90848501887865,1.2192562359331,1.06831197415312
171,VC DMSO 0.3%,3,0.037037037037037,Ko_43,J7,-1.43136376415899,0.691776876506334,1.26582984876969
172,VC DMSO 0.3%,3,0.111111111111111,Ko_43,J5,-0.954242509439325,0.136860021883026,0.892220271454245
173,VC DMSO 0.3%,3,0.333333333333333,Ko_43,J3,-0.477121254719662,-0.215557318709201,-0.140465666950283
174,VC DMSO 0.3%,3,1,Ko_43,J1,0,-0.250537402692548,-0.257308130903827
175,VC DMSO 0.3%,3,0.00411522633744856,Ko_44,J23,-2.38560627359831,1.03173861363202,0.909301243762644
176,VC DMSO 0.3%,3,0.0123456790123457,Ko_44,J21,-1.90848501887865,0.94536681767136,1.03999890629937
177,VC DMSO 0.3%,3,0.037037037037037,Ko_44,J19,-1.43136376415899,1.03073597015926,1.11613734929931
178,VC DMSO 0.3%,3,0.111111111111111,Ko_44,J17,-0.954242509439325,1.17705247465484,1.14311154970117
179,VC DMSO 0.3%,3,0.333333333333333,Ko_44,J15,-0.477121254719662,0.590090448225387,1.3030135281114
180,VC DMSO 0.3%,3,1,Ko_44,J13,0,-0.236282850850735,-0.0121072224054795
181,VC DMSO 0.3%,3,0.00411522633744856,Ko_58,K11,-2.38560627359831,1.11706181200341,1.04585764612508
182,VC DMSO 0.3%,3,0.0123456790123457,Ko_58,K9,-1.90848501887865,1.10210461938904,1.02582829894315
183,VC DMSO 0.3%,3,0.037037037037037,Ko_58,K7,-1.43136376415899,1.16356439626729,1.05119290274248
184,VC DMSO 0.3%,3,0.111111111111111,Ko_58,K5,-0.954242509439325,1.05913500504836,1.18399566630301
185,VC DMSO 0.3%,3,0.333333333333333,Ko_58,K3,-0.477121254719662,1.05514755109368,1.09290524563506
186,VC DMSO 0.3%,3,1,Ko_58,K1,0,0.765877855533745,1.39052027502036
187,VC DMSO 0.3%,3,0.00411522633744856,Mo_07,K12,-2.38560627359831,0.964606958759822,1.09966398521218
188,VC DMSO 0.3%,3,0.0123456790123457,Mo_07,K10,-1.90848501887865,1.11282732553289,1.07130718271038
189,VC DMSO 0.3%,3,0.037037037037037,Mo_07,K8,-1.43136376415899,1.10894079241287,1.05587552336777
190,VC DMSO 0.3%,3,0.111111111111111,Mo_07,K6,-0.954242509439325,1.0516584710741,1.00147833520534
191,VC DMSO 0.3%,3,0.333333333333333,Mo_07,K4,-0.477121254719662,1.00289564513288,0.951445186113735
192,VC DMSO 0.3%,3,1,Mo_07,K2,0,0.947031005656378,1.0492303968056
193,VC DMSO 0.3%,3,0.00411522633744856,Mo_62,K23,-2.38560627359831,0.580057234306769,1.08098419175294
194,VC DMSO 0.3%,3,0.0123456790123457,Mo_62,K21,-1.90848501887865,0.679913292305091,1.03296639170145
195,VC DMSO 0.3%,3,0.037037037037037,Mo_62,K19,-1.43136376415899,1.0199156594572,0.980488220075296
196,VC DMSO 0.3%,3,0.111111111111111,Mo_62,K17,-0.954242509439325,0.890804982285754,1.0849359253063
197,VC DMSO 0.3%,3,0.333333333333333,Mo_62,K15,-0.477121254719662,0.395819559811715,0.960345136397192
198,VC DMSO 0.3%,3,1,Mo_62,K13,0,-0.239398015060779,-0.122876689461835
199,VC DMSO 0.3%,3,0.00411522633744856,Mo_63,K24,-2.38560627359831,0.782084224063286,0.804573574014553
200,VC DMSO 0.3%,3,0.0123456790123457,Mo_63,K22,-1.90848501887865,0.943938585387649,0.888114112626835
201,VC DMSO 0.3%,3,0.037037037037037,Mo_63,K20,-1.43136376415899,0.58421275429432,1.18303712273193
202,VC DMSO 0.3%,3,0.111111111111111,Mo_63,K18,-0.954242509439325,0.356934966384415,0.923156250263926
203,VC DMSO 0.3%,3,0.333333333333333,Mo_63,K16,-0.477121254719662,-0.196423595503204,-0.110496669595233
204,VC DMSO 0.3%,3,1,Mo_63,K14,0,-0.215278522130502,-0.156168861501524
