"","vc","br","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"28","VC DMSO 0.3%",2,0.111111111111111,"Sb_26",-0.954242509439325,1.22471213624375,0.942255475901211,0,0,1.22471213624375,0.942255475901211,NA,NA
"29","VC DMSO 0.3%",2,0.333333333333333,"Sb_26",-0.477121254719663,0.820479865937011,1.01354141846078,0,0,0.820479865937011,1.01354141846078,NA,NA
"30","VC DMSO 0.3%",2,1,"Sb_26",0,0.443030309116504,0.888481253372648,0,0,0.443030309116504,0.888481253372648,NA,NA
"31","VC DMSO 0.3%",2,0.00411522633744856,"Sb_44",-2.38560627359831,1.13987631505058,1.01011709512074,0,0,1.13987631505058,1.01011709512074,NA,NA
"32","VC DMSO 0.3%",2,0.0123456790123457,"Sb_44",-1.90848501887865,1.23055510154567,0.921500380454354,0,0,1.23055510154567,0.921500380454354,NA,NA
"33","VC DMSO 0.3%",2,0.037037037037037,"Sb_44",-1.43136376415899,1.25232532705922,0.892273135147254,0,0,1.25232532705922,0.892273135147254,NA,NA
"34","VC DMSO 0.3%",2,0.111111111111111,"Sb_44",-0.954242509439325,1.12047900483619,0.846059433553879,0,0,1.12047900483619,0.846059433553879,NA,NA
"35","VC DMSO 0.3%",2,0.333333333333333,"Sb_44",-0.477121254719663,0.755380859924137,0.830654025111129,0,0,0.755380859924137,0.830654025111129,NA,NA
"36","VC DMSO 0.3%",2,1,"Sb_44",0,0.461607385316333,0.956180244593023,0,0,0.461607385316333,0.956180244593023,NA,NA
"37","VC DMSO 0.3%",2,0.00411522633744856,"Sp_35",-2.38560627359831,0.673598682023689,0.899853392532764,0,0,0.673598682023689,0.899853392532764,NA,NA
"38","VC DMSO 0.3%",2,0.0123456790123457,"Sp_35",-1.90848501887865,0.823288769710011,0.966878926155874,0,0,0.823288769710011,0.966878926155874,NA,NA
"39","VC DMSO 0.3%",2,0.037037037037037,"Sp_35",-1.43136376415899,0.807138226529271,0.906933407352816,0,0,0.807138226529271,0.906933407352816,NA,NA
"40","VC DMSO 0.3%",2,0.111111111111111,"Sp_35",-0.954242509439325,0.880690604867258,0.891368790958316,0,0,0.880690604867258,0.891368790958316,NA,NA
"41","VC DMSO 0.3%",2,0.333333333333333,"Sp_35",-0.477121254719663,0.47290199409422,0.696180255120302,0,0,0.47290199409422,0.696180255120302,NA,NA
"42","VC DMSO 0.3%",2,1,"Sp_35",0,0.0948176799989911,0.300522155737113,0,0,0.0948176799989911,0.300522155737113,NA,NA
"43","VC DMSO 0.3%",2,0.00411522633744856,"Sp_36",-2.38560627359831,0.842219784368526,0.959503855797209,0,0,0.842219784368526,0.959503855797209,NA,NA
"44","VC DMSO 0.3%",2,0.0123456790123457,"Sp_36",-1.90848501887865,0.877293091962988,0.870753896365236,0,0,0.877293091962988,0.870753896365236,NA,NA
"45","VC DMSO 0.3%",2,0.037037037037037,"Sp_36",-1.43136376415899,0.864793435871041,0.860600571764969,0,0,0.864793435871041,0.860600571764969,NA,NA
"46","VC DMSO 0.3%",2,0.111111111111111,"Sp_36",-0.954242509439325,0.411492562608357,0.756975972048367,0,0,0.411492562608357,0.756975972048367,NA,NA
"47","VC DMSO 0.3%",2,0.333333333333333,"Sp_36",-0.477121254719663,0.262237392934,0.600973204013847,0,0,0.262237392934,0.600973204013847,NA,NA
"48","VC DMSO 0.3%",2,1,"Sp_36",0,0.184085618450059,0.450595684603349,0,0,0.184085618450059,0.450595684603349,NA,NA
"49","VC DMSO 0.3%",2,0.00411522633744856,"Tt_07",-2.38560627359831,0.99216878188749,1.03019097371582,0,0,0.99216878188749,1.03019097371582,NA,NA
"50","VC DMSO 0.3%",2,0.0123456790123457,"Tt_07",-1.90848501887865,0.98574836746285,0.910498875311,0,0,0.98574836746285,0.910498875311,NA,NA
"51","VC DMSO 0.3%",2,0.037037037037037,"Tt_07",-1.43136376415899,0.951634530809938,1.01172976346419,0,0,0.951634530809938,1.01172976346419,NA,NA
"52","VC DMSO 0.3%",2,0.111111111111111,"Tt_07",-0.954242509439325,1.06610978815429,0.987632982934687,0,0,1.06610978815429,0.987632982934687,NA,NA
"53","VC DMSO 0.3%",2,0.333333333333333,"Tt_07",-0.477121254719663,0.937377891941451,0.968793739694271,0,0,0.937377891941451,0.968793739694271,NA,NA
"54","VC DMSO 0.3%",2,1,"Tt_07",0,0.885890281727347,1.10383441154033,0,0,0.885890281727347,1.10383441154033,NA,NA
