,vc,br,conc,cond,well,log10conc,dose_conds_rlu,dose_conds_rfu
1,VC DMSO 0.3%,2,0.00411522633744856,Ak_07,A23,-2.38560627359831,0.674816149659301,0.817961510663594
2,VC DMSO 0.3%,2,0.0123456790123457,Ak_07,A21,-1.90848501887865,0.812078212562892,0.872043455432535
3,VC DMSO 0.3%,2,0.037037037037037,Ak_07,A19,-1.43136376415899,0.911766654650215,0.872034450023279
4,VC DMSO 0.3%,2,0.111111111111111,Ak_07,A17,-0.954242509439325,0.90916154187034,0.856999273563655
5,VC DMSO 0.3%,2,0.333333333333333,Ak_07,A15,-0.477121254719662,0.806236007692084,0.824720231521401
6,VC DMSO 0.3%,2,1,Ak_07,A13,0,0.623766070282177,0.891075938745467
7,VC DMSO 0.3%,2,0.00411522633744856,Am_72,A11,-2.38560627359831,0.726268412648471,0.814611557042573
8,VC DMSO 0.3%,2,0.0123456790123457,Am_72,A9,-1.90848501887865,0.730148684766972,0.816712014008729
9,VC DMSO 0.3%,2,0.037037037037037,Am_72,A7,-1.43136376415899,0.597580731351443,0.805015630531774
10,VC DMSO 0.3%,2,0.111111111111111,Am_72,A5,-0.954242509439325,0.543545622628757,0.808260081378073
11,VC DMSO 0.3%,2,0.333333333333333,Am_72,A3,-0.477121254719662,0.656599182559972,0.733318677660534
12,VC DMSO 0.3%,2,1,Am_72,A1,0,0.289684122817876,0.654819447613543
13,VC DMSO 0.3%,2,0.00411522633744856,Am_86,A12,-2.38560627359831,0.632653825118327,0.868472878767748
14,VC DMSO 0.3%,2,0.0123456790123457,Am_86,A10,-1.90848501887865,0.711998732728336,0.874459017237673
15,VC DMSO 0.3%,2,0.037037037037037,Am_86,A8,-1.43136376415899,0.717593123117698,0.906950745908069
16,VC DMSO 0.3%,2,0.111111111111111,Am_86,A6,-0.954242509439325,0.656180483101988,0.855085712892182
17,VC DMSO 0.3%,2,0.333333333333333,Am_86,A4,-0.477121254719662,0.601776439123335,0.741222451047016
18,VC DMSO 0.3%,2,1,Am_86,A2,0,0.34025163890631,0.866874631561433
19,VC DMSO 0.3%,2,0.00411522633744856,Fh_12,A24,-2.38560627359831,0.620031626885068,0.741526781464699
20,VC DMSO 0.3%,2,0.0123456790123457,Fh_12,A22,-1.90848501887865,0.758790247031501,0.802224627818058
21,VC DMSO 0.3%,2,0.037037037037037,Fh_12,A20,-1.43136376415899,0.918716318024117,0.929491052511235
22,VC DMSO 0.3%,2,0.111111111111111,Fh_12,A18,-0.954242509439325,0.888096296191002,0.88315293726708
23,VC DMSO 0.3%,2,0.333333333333333,Fh_12,A16,-0.477121254719662,0.78238066737023,0.846274522537185
24,VC DMSO 0.3%,2,1,Fh_12,A14,0,0.706548525509458,0.899662790441736
25,VC DMSO 0.3%,2,0.00411522633744856,Gc_07,B11,-2.38560627359831,0.622671806354773,0.928442452519262
26,VC DMSO 0.3%,2,0.0123456790123457,Gc_07,B9,-1.90848501887865,0.720935815695512,0.986413570263108
27,VC DMSO 0.3%,2,0.037037037037037,Gc_07,B7,-1.43136376415899,0.622087356039082,0.9330342577665
28,VC DMSO 0.3%,2,0.111111111111111,Gc_07,B5,-0.954242509439325,0.639695192301699,0.894160459523536
29,VC DMSO 0.3%,2,0.333333333333333,Gc_07,B3,-0.477121254719662,0.6260355619842,0.87798442547315
30,VC DMSO 0.3%,2,1,Gc_07,B1,0,0.619087258932381,0.977289595819821
31,VC DMSO 0.3%,2,0.00411522633744856,Gc_23,B23,-2.38560627359831,0.676275610699527,0.873522018456673
32,VC DMSO 0.3%,2,0.0123456790123457,Gc_23,B21,-1.90848501887865,0.690595427813219,0.818732515423778
33,VC DMSO 0.3%,2,0.037037037037037,Gc_23,B19,-1.43136376415899,0.705112604074959,0.880601671892939
34,VC DMSO 0.3%,2,0.111111111111111,Gc_23,B17,-0.954242509439325,0.691423704891991,0.805532678612898
35,VC DMSO 0.3%,2,0.333333333333333,Gc_23,B15,-0.477121254719662,0.838124047172888,0.796673502513117
36,VC DMSO 0.3%,2,1,Gc_23,B13,0,0.201754573591397,0.596322336725732
37,VC DMSO 0.3%,2,0.00411522633744856,Gc_25,C11,-2.38560627359831,0.698561685111707,0.920685822657828
38,VC DMSO 0.3%,2,0.0123456790123457,Gc_25,C9,-1.90848501887865,0.786363002041161,0.914950758032524
39,VC DMSO 0.3%,2,0.037037037037037,Gc_25,C7,-1.43136376415899,0.735107280909755,0.831851169065059
40,VC DMSO 0.3%,2,0.111111111111111,Gc_25,C5,-0.954242509439325,0.835376638120902,0.839335691770075
41,VC DMSO 0.3%,2,0.333333333333333,Gc_25,C3,-0.477121254719662,0.802897387852765,0.735458013235404
42,VC DMSO 0.3%,2,1,Gc_25,C1,0,0.392760224904135,0.885269975703812
43,VC DMSO 0.3%,2,0.00411522633744856,Gc_26,C12,-2.38560627359831,0.674023997908111,0.984404207072028
44,VC DMSO 0.3%,2,0.0123456790123457,Gc_26,C10,-1.90848501887865,0.804746641506706,0.999556272812736
45,VC DMSO 0.3%,2,0.037037037037037,Gc_26,C8,-1.43136376415899,0.809416868565936,0.966210794102509
46,VC DMSO 0.3%,2,0.111111111111111,Gc_26,C6,-0.954242509439325,0.620129682521039,0.770715104290003
47,VC DMSO 0.3%,2,0.333333333333333,Gc_26,C4,-0.477121254719662,0.688615344634405,0.901390715196502
48,VC DMSO 0.3%,2,1,Gc_26,C2,0,0.214404614546005,0.955251890366099
49,VC DMSO 0.3%,2,0.00411522633744856,Gc_28,C23,-2.38560627359831,0.860671402158104,0.920365357333038
50,VC DMSO 0.3%,2,0.0123456790123457,Gc_28,C21,-1.90848501887865,0.85284383189007,0.835006602052946
51,VC DMSO 0.3%,2,0.037037037037037,Gc_28,C19,-1.43136376415899,0.947247916349276,0.84072325240085
52,VC DMSO 0.3%,2,0.111111111111111,Gc_28,C17,-0.954242509439325,0.996235939429148,0.866923444914189
53,VC DMSO 0.3%,2,0.333333333333333,Gc_28,C15,-0.477121254719662,0.880768038177308,0.901916620407119
54,VC DMSO 0.3%,2,1,Gc_28,C13,0,0.320572885054806,0.798429765944226
55,VC DMSO 0.3%,2,0.00411522633744856,Gc_32,C24,-2.38560627359831,0.696384165992469,0.880067264734582
56,VC DMSO 0.3%,2,0.0123456790123457,Gc_32,C22,-1.90848501887865,0.894581294384914,0.86674807306053
57,VC DMSO 0.3%,2,0.037037037037037,Gc_32,C20,-1.43136376415899,0.8315980363652,0.901283705485595
58,VC DMSO 0.3%,2,0.111111111111111,Gc_32,C18,-0.954242509439325,0.890987586729138,0.856599664778082
