"","vc","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"64","VC DMSO 0.3%",0.111111111111111,"Gc_33",-0.954242509439325,0.946651066807499,0.9633582897713,0,0,0.946651066807499,0.9633582897713,NA,NA
"65","VC DMSO 0.3%",0.333333333333333,"Gc_33",-0.477121254719663,0.750335919333954,0.93862090297113,0,0,0.750335919333954,0.93862090297113,NA,NA
"66","VC DMSO 0.3%",1,"Gc_33",0,0.39363302784787,0.899085787335519,0,0,0.39363302784787,0.899085787335519,NA,NA
"67","VC DMSO 0.3%",0.00411522633744856,"Gc_34",-2.38560627359831,0.946923803157435,0.847622147634899,0,0,0.946923803157435,0.847622147634899,NA,NA
"68","VC DMSO 0.3%",0.0123456790123457,"Gc_34",-1.90848501887865,0.806362405199847,1.0240003639682,0,0,0.806362405199847,1.0240003639682,NA,NA
"69","VC DMSO 0.3%",0.037037037037037,"Gc_34",-1.43136376415899,0.992829465298172,0.925842604832923,0,0,0.992829465298172,0.925842604832923,NA,NA
"70","VC DMSO 0.3%",0.111111111111111,"Gc_34",-0.954242509439325,1.00359839747586,0.902181841175528,0,0,1.00359839747586,0.902181841175528,NA,NA
"71","VC DMSO 0.3%",0.333333333333333,"Gc_34",-0.477121254719663,0.856631308650332,0.890067857060505,0,0,0.856631308650332,0.890067857060505,NA,NA
"72","VC DMSO 0.3%",1,"Gc_34",0,0.326852019345064,0.79626248997935,0,0,0.326852019345064,0.79626248997935,NA,NA
"73","VC DMSO 0.3%",0.00411522633744856,"Gc_35",-2.38560627359831,0.894998830986923,0.962204602532774,0,0,0.894998830986923,0.962204602532774,NA,NA
"74","VC DMSO 0.3%",0.0123456790123457,"Gc_35",-1.90848501887865,1.12933013179703,0.96306612519082,0,0,1.12933013179703,0.96306612519082,NA,NA
"75","VC DMSO 0.3%",0.037037037037037,"Gc_35",-1.43136376415899,0.94449262785103,0.984760659550177,0,0,0.94449262785103,0.984760659550177,NA,NA
"76","VC DMSO 0.3%",0.111111111111111,"Gc_35",-0.954242509439325,0.883826140953487,0.939188398930756,0,0,0.883826140953487,0.939188398930756,NA,NA
"77","VC DMSO 0.3%",0.333333333333333,"Gc_35",-0.477121254719663,0.833059661304869,0.945800153854394,0,0,0.833059661304869,0.945800153854394,NA,NA
"78","VC DMSO 0.3%",1,"Gc_35",0,0.458433412882647,0.912419550082445,0,0,0.458433412882647,0.912419550082445,NA,NA
"79","VC DMSO 0.3%",0.00411522633744856,"Gc_36",-2.38560627359831,0.911302458452233,0.97679320517854,0,0,0.911302458452233,0.97679320517854,NA,NA
"80","VC DMSO 0.3%",0.0123456790123457,"Gc_36",-1.90848501887865,1.09339922331259,0.968594646452998,0,0,1.09339922331259,0.968594646452998,NA,NA
"81","VC DMSO 0.3%",0.037037037037037,"Gc_36",-1.43136376415899,1.03610473076935,0.950022861463328,0,0,1.03610473076935,0.950022861463328,NA,NA
"82","VC DMSO 0.3%",0.111111111111111,"Gc_36",-0.954242509439325,0.980359691702857,0.935572305551639,0,0,0.980359691702857,0.935572305551639,NA,NA
"83","VC DMSO 0.3%",0.333333333333333,"Gc_36",-0.477121254719663,0.881835356208607,0.94480754499016,0,0,0.881835356208607,0.94480754499016,NA,NA
"84","VC DMSO 0.3%",1,"Gc_36",0,0.404018692021191,0.960670674259426,0,0,0.404018692021191,0.960670674259426,NA,NA
"85","VC DMSO 0.3%",0.00411522633744856,"Gc_37",-2.38560627359831,0.938478951090528,0.95383184957075,0,0,0.938478951090528,0.95383184957075,NA,NA
"86","VC DMSO 0.3%",0.0123456790123457,"Gc_37",-1.90848501887865,0.890991127406173,0.907017025237422,0,0,0.890991127406173,0.907017025237422,NA,NA
"87","VC DMSO 0.3%",0.037037037037037,"Gc_37",-1.43136376415899,0.974080280411529,0.951866080629648,0,0,0.974080280411529,0.951866080629648,NA,NA
"88","VC DMSO 0.3%",0.111111111111111,"Gc_37",-0.954242509439325,1.00714009475263,0.891532392129501,0,0,1.00714009475263,0.891532392129501,NA,NA
"89","VC DMSO 0.3%",0.333333333333333,"Gc_37",-0.477121254719663,1.06974646676291,0.963982747573848,0,0,1.06974646676291,0.963982747573848,NA,NA
"90","VC DMSO 0.3%",1,"Gc_37",0,0.39604885564948,0.900900740241195,0,0,0.39604885564948,0.900900740241195,NA,NA
"91","VC DMSO 0.3%",0.00411522633744856,"Ko_09",-2.38560627359831,0.781774627426637,0.948414020874958,0,0,0.781774627426637,0.948414020874958,NA,NA
"92","VC DMSO 0.3%",0.0123456790123457,"Ko_09",-1.90848501887865,0.899194376946308,0.93003622891834,0,0,0.899194376946308,0.93003622891834,NA,NA
"93","VC DMSO 0.3%",0.037037037037037,"Ko_09",-1.43136376415899,0.939612957814924,0.989001384874356,0,0,0.939612957814924,0.989001384874356,NA,NA
"94","VC DMSO 0.3%",0.111111111111111,"Ko_09",-0.954242509439325,0.991553389936208,0.928296053841391,0,0,0.991553389936208,0.928296053841391,NA,NA
