"","vc","br","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"1","VC DMSO 0.3%",3,0.00411522633744856,"-",-2.38560627359831,0.989760960642147,0.969716884776938,0.143630926871983,0.135970275012267,0.964916996854156,0.91433429663954,0.244722350195102,0.328245585699468
"2","VC DMSO 0.3%",3,0.0123456790123457,"-",-1.90848501887865,1.07519656985368,0.98812223970746,0.12886385733878,0.084406459431256,1.04422697579709,0.982905345947041,0.138207377797242,0.0865405258795927
"3","VC DMSO 0.3%",3,0.037037037037037,"-",-1.43136376415899,1.08734187107582,1.01656097946812,0.117270121311106,0.0658005847096734,1.05231913833397,1.00340057342757,0.11720003311239,0.0653186774695884
"4","VC DMSO 0.3%",3,0.111111111111111,"-",-0.954242509439325,1.09283352582736,0.96245391592348,0.100087573482659,0.056004669027773,1.06709084890631,0.963969612682431,0.124555904206844,0.0581552041090109
"5","VC DMSO 0.3%",3,0.333333333333333,"-",-0.477121254719663,1.05052323229534,0.982292077885122,0.119098446712967,0.0705863775891633,1.05747705391932,0.976559369022108,0.129588121373817,0.0656651240551456
"6","VC DMSO 0.3%",3,1,"-",0,1.06886444517724,1.02892665390275,0.12716436052618,0.10339933202311,1.05189324531147,1.0132218495904,0.154351789889039,0.137616058089904
"7","VC DMSO 0.3%",3,0.00411522633744856,"Pt_48",-2.38560627359831,0.948150642450694,1.01115663242797,0,0,0.948150642450694,1.01115663242797,NA,NA
"8","VC DMSO 0.3%",3,0.0123456790123457,"Pt_48",-1.90848501887865,0.872427062653744,1.0344326232196,0,0,0.872427062653744,1.0344326232196,NA,NA
"9","VC DMSO 0.3%",3,0.037037037037037,"Pt_48",-1.43136376415899,0.887188643344119,1.06372077495771,0,0,0.887188643344119,1.06372077495771,NA,NA
"10","VC DMSO 0.3%",3,0.111111111111111,"Pt_48",-0.954242509439325,0.896145633206223,1.02821577011224,0,0,0.896145633206223,1.02821577011224,NA,NA
"11","VC DMSO 0.3%",3,0.333333333333333,"Pt_48",-0.477121254719663,0.766039410154708,1.13249486368314,0,0,0.766039410154708,1.13249486368314,NA,NA
"12","VC DMSO 0.3%",3,1,"Pt_48",0,0.407822684258975,0.988925855802341,0,0,0.407822684258975,0.988925855802341,NA,NA
"13","VC DMSO 0.3%",3,0.00411522633744856,"Sb_24",-2.38560627359831,0.845529170678387,1.05323270169424,0,0,0.845529170678387,1.05323270169424,NA,NA
"14","VC DMSO 0.3%",3,0.0123456790123457,"Sb_24",-1.90848501887865,1.1337161288169,1.1271960153678,0,0,1.1337161288169,1.1271960153678,NA,NA
"15","VC DMSO 0.3%",3,0.037037037037037,"Sb_24",-1.43136376415899,1.16091434927814,0.88443525454058,0,0,1.16091434927814,0.88443525454058,NA,NA
"16","VC DMSO 0.3%",3,0.111111111111111,"Sb_24",-0.954242509439325,1.56181323730963,0.826077673704826,0,0,1.56181323730963,0.826077673704826,NA,NA
"17","VC DMSO 0.3%",3,0.333333333333333,"Sb_24",-0.477121254719663,1.56772187745829,0.685249141491411,0,0,1.56772187745829,0.685249141491411,NA,NA
