"","vc","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"1","VC DMSO 0.3%",0.00411522633744856,"Ak_07",-2.38560627359831,0.789372912440751,2.353113912899,0,0,0.789372912440751,2.353113912899,NA,NA
"2","VC DMSO 0.3%",0.0123456790123457,"Ak_07",-1.90848501887865,0.829055321351106,1.32982431371998,0,0,0.829055321351106,1.32982431371998,NA,NA
"3","VC DMSO 0.3%",0.037037037037037,"Ak_07",-1.43136376415899,0.839762099448571,1.07614680164739,0,0,0.839762099448571,1.07614680164739,NA,NA
"4","VC DMSO 0.3%",0.111111111111111,"Ak_07",-0.954242509439325,0.741061163610993,0.760903804217064,0,0,0.741061163610993,0.760903804217064,NA,NA
"5","VC DMSO 0.3%",0.333333333333333,"Ak_07",-0.477121254719663,0.750767665676885,0.166180379347523,0,0,0.750767665676885,0.166180379347523,NA,NA
"6","VC DMSO 0.3%",1,"Ak_07",0,0.613403510402371,0.370963314463279,0,0,0.613403510402371,0.370963314463279,NA,NA
"7","VC DMSO 0.3%",0.00411522633744856,"Am_72",-2.38560627359831,0.578895076917685,-0.0883307607507293,0,0,0.578895076917685,-0.0883307607507293,NA,NA
"8","VC DMSO 0.3%",0.0123456790123457,"Am_72",-1.90848501887865,0.560912599881351,0.947824001786084,0,0,0.560912599881351,0.947824001786084,NA,NA
"9","VC DMSO 0.3%",0.037037037037037,"Am_72",-1.43136376415899,0.607201471649438,0.415858274310534,0,0,0.607201471649438,0.415858274310534,NA,NA
"10","VC DMSO 0.3%",0.111111111111111,"Am_72",-0.954242509439325,0.580482397635564,0.737842894927118,0,0,0.580482397635564,0.737842894927118,NA,NA
"11","VC DMSO 0.3%",0.333333333333333,"Am_72",-0.477121254719663,0.590431938618702,0.611649183109342,0,0,0.590431938618702,0.611649183109342,NA,NA
"12","VC DMSO 0.3%",1,"Am_72",0,0.111357016518411,1.51562415447638,0,0,0.111357016518411,1.51562415447638,NA,NA
"13","VC DMSO 0.3%",0.00411522633744856,"Am_86",-2.38560627359831,0.469323903264107,-0.0204916201970511,0,0,0.469323903264107,-0.0204916201970511,NA,NA
"14","VC DMSO 0.3%",0.0123456790123457,"Am_86",-1.90848501887865,0.529504529155528,0.171147676414484,0,0,0.529504529155528,0.171147676414484,NA,NA
"15","VC DMSO 0.3%",0.037037037037037,"Am_86",-1.43136376415899,0.557320677958438,0.443023329607109,0,0,0.557320677958438,0.443023329607109,NA,NA
"16","VC DMSO 0.3%",0.111111111111111,"Am_86",-0.954242509439325,0.462396934886187,0.935152359957806,0,0,0.462396934886187,0.935152359957806,NA,NA
