"","conc","cond","mean","sd","median","mad","log10conc","readout"
"1",0.00411522633744856,"-",1.01525890717308,0.192635191947918,1.05736971686555,0.133383116319871,-2.38560627359831,"Mm in infection"
"2",0.00411522633744856,"Ak_07",0.748809150552919,0.064179034661802,0.782238389558705,0.0105776436249217,-2.38560627359831,"Mm in infection"
"3",0.00411522633744856,"Am_72",0.697228946390846,0.106816865968435,0.726268412648471,0.0893339695337965,-2.38560627359831,"Mm in infection"
"4",0.00411522633744856,"Am_86",0.583134350258813,0.0988390745949821,0.632653825118327,0.0219002218609211,-2.38560627359831,"Mm in infection"
"5",0.00411522633744856,"Fh_12",0.665287593001509,0.0435913189048496,0.668833484140475,0.056582218958976,-2.38560627359831,"Mm in infection"
"6",0.00411522633744856,"Gc_07",0.618867968728516,0.124603854331702,0.622671806354773,0.176213748024987,-2.38560627359831,"Mm in infection"
"7",0.00411522633744856,"Gc_23",0.683639885793517,0.0252400436633931,0.676275610699527,0.0198291678441264,-2.38560627359831,"Mm in infection"
"8",0.00411522633744856,"Gc_25",0.743075518675771,0.13891977818616,0.698561685111707,0.0988791588900816,-2.38560627359831,"Mm in infection"
"9",0.00411522633744856,"Gc_26",0.643087348857754,0.0957713281157341,0.674023997908111,0.0675213282471775,-2.38560627359831,"Mm in infection"
"10",0.00411522633744856,"Gc_28",0.868797591632157,0.0353815024222949,0.860671402158104,0.0333366567567757,-2.38560627359831,"Mm in infection"
"11",0.00411522633744856,"Gc_32",0.674911641310523,0.0422571491431974,0.696384165992469,0.0085053228703274,-2.38560627359831,"Mm in infection"
"12",0.00411522633744856,"Gc_33",0.890344173693746,0.0825471770386737,0.847755873505307,0.0147767996134451,-2.38560627359831,"Mm in infection"
"13",0.00411522633744856,"Gc_34",0.911106441490212,0.0345671629148928,0.908453127069252,0.0452352124867943,-2.38560627359831,"Mm in infection"
"14",0.00411522633744856,"Gc_35",0.952001225295234,0.104927983516502,0.894998830986923,0.0105064606735376,-2.38560627359831,"Mm in infection"
"15",0.00411522633744856,"Gc_36",0.915944075168644,0.146823641280511,0.911302458452233,0.207276641200314,-2.38560627359831,"Mm in infection"
"16",0.00411522633744856,"Gc_37",0.931763401303819,0.0324988084157338,0.938478951090528,0.0324702174885403,-2.38560627359831,"Mm in infection"
"17",0.00411522633744856,"Ko_09",0.822180706148541,0.0360369647458374,0.833771287681889,0.0255376599504086,-2.38560627359831,"Mm in infection"
"18",0.00411522633744856,"Ko_11",0.966728390581453,0.0752347920389116,1.00527452077225,0.0142392593388211,-2.38560627359831,"Mm in infection"
"19",0.00411522633744856,"Ko_15",0.976929578091219,0.0884755811892226,1.02636898263673,0.00484303577939152,-2.38560627359831,"Mm in infection"
"20",0.00411522633744856,"Ko_16",0.863683591662064,0.147049504886283,0.938728649727763,0.0286741853444055,-2.38560627359831,"Mm in infection"
"21",0.00411522633744856,"Ko_17",0.80369492816227,0.185458244696258,0.851453952969953,0.161824035038919,-2.38560627359831,"Mm in infection"
"22",0.00411522633744856,"Ko_18",0.848209984310111,0.0334257514591928,0.866988932410506,0.0015333316075289,-2.38560627359831,"Mm in infection"
"23",0.00411522633744856,"Ko_20",0.698939297376963,0.0575063132673093,0.675942963663633,0.0288412888387587,-2.38560627359831,"Mm in infection"
"24",0.00411522633744856,"Ko_21",0.917026625491685,0.152525696743457,0.995887552126804,0.0268198009502756,-2.38560627359831,"Mm in infection"
"25",0.00411522633744856,"Ko_22",0.999515539357981,0.0497040977888835,1.00406316687408,0.0633461318404008,-2.38560627359831,"Mm in infection"
"26",0.00411522633744856,"Ko_25",1.07563031242813,0.091334646930901,1.05240714116217,0.0804430076128131,-2.38560627359831,"Mm in infection"
"27",0.00411522633744856,"Ko_26",1.12841250145723,0.0756677998452474,1.08768388148967,0.00867481233426551,-2.38560627359831,"Mm in infection"
"28",0.00411522633744856,"Ko_29",0.920660168107874,0.00811188248019444,0.924762630416261,0.001688336973818,-2.38560627359831,"Mm in infection"
"29",0.00411522633744856,"Ko_30",0.839415539912224,0.0639579212424475,0.871004389504303,0.0154615873257374,-2.38560627359831,"Mm in infection"
"30",0.00411522633744856,"Ko_43",0.369718707310765,0.287648924931632,0.503556128399073,0.0926731205703112,-2.38560627359831,"Mm in infection"
"31",0.00411522633744856,"Ko_44",1.04149386314741,0.0484914703689776,1.03173861363202,0.0490992414660015,-2.38560627359831,"Mm in infection"
"32",0.00411522633744856,"Ko_58",1.09032663475098,0.0580444315971217,1.11706181200341,0.0194575053073521,-2.38560627359831,"Mm in infection"
"33",0.00411522633744856,"Mo_07",0.973751974669929,0.0933620459648112,0.964606958759822,0.117582041193265,-2.38560627359831,"Mm in infection"
"34",0.00411522633744856,"Mo_62",0.545598176899344,0.0571508349417367,0.577109267359543,0.00437065579595741,-2.38560627359831,"Mm in infection"
"35",0.00411522633744856,"Mo_63",0.852468746258085,0.0610314909401169,0.884602059344978,0.00907039264075121,-2.38560627359831,"Mm in infection"
"36",0.00411522633744856,"Mo_64",0.851957907383035,0.168594222698951,0.936351566422261,0.0375662604313242,-2.38560627359831,"Mm in infection"
"37",0.00411522633744856,"Mo_65",0.954242590104803,0.0217657108867129,0.966095930680441,0.00209484591141727,-2.38560627359831,"Mm in infection"
"38",0.00411522633744856,"Mo_71",1.00847275092999,0.0601052643211956,1.00359962528451,0.0780547858160307,-2.38560627359831,"Mm in infection"
"39",0.00411522633744856,"Mo_72",1.02869552519628,0.0446069401755115,1.02202033317753,0.0507315709485294,-2.38560627359831,"Mm in infection"
