"","vc","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"1","VC DMSO 0.3%",0.00411522633744856,"Ak_07",-2.38560627359831,0.782238389558705,0.778113384782203,0,0,0.782238389558705,0.778113384782203,NA,NA
"2","VC DMSO 0.3%",0.0123456790123457,"Ak_07",-1.90848501887865,0.888077882579445,0.843218878293642,0,0,0.888077882579445,0.843218878293642,NA,NA
"3","VC DMSO 0.3%",0.037037037037037,"Ak_07",-1.43136376415899,0.940956200073884,0.834910106368776,0,0,0.940956200073884,0.834910106368776,NA,NA
"4","VC DMSO 0.3%",0.111111111111111,"Ak_07",-0.954242509439325,1.03069066651421,0.824852960382265,0,0,1.03069066651421,0.824852960382265,NA,NA
"5","VC DMSO 0.3%",0.333333333333333,"Ak_07",-0.477121254719663,0.966545653219878,0.82469789540688,0,0,0.966545653219878,0.82469789540688,NA,NA
"6","VC DMSO 0.3%",1,"Ak_07",0,0.929641809300347,0.902941518321394,0,0,0.929641809300347,0.902941518321394,NA,NA
"7","VC DMSO 0.3%",0.00411522633744856,"Am_72",-2.38560627359831,0.786523349606381,0.784838127577698,0,0,0.786523349606381,0.784838127577698,NA,NA
"8","VC DMSO 0.3%",0.0123456790123457,"Am_72",-1.90848501887865,0.821081431771676,0.833540790505403,0,0,0.821081431771676,0.833540790505403,NA,NA
"9","VC DMSO 0.3%",0.037037037037037,"Am_72",-1.43136376415899,0.827579472436027,0.796370712963371,0,0,0.827579472436027,0.796370712963371,NA,NA
"10","VC DMSO 0.3%",0.111111111111111,"Am_72",-0.954242509439325,0.953054055518555,0.876919553658153,0,0,0.953054055518555,0.876919553658153,NA,NA
"11","VC DMSO 0.3%",0.333333333333333,"Am_72",-0.477121254719663,0.748255576078682,0.754072722641964,0,0,0.748255576078682,0.754072722641964,NA,NA
"12","VC DMSO 0.3%",1,"Am_72",0,0.448206966873043,0.78494801043071,0,0,0.448206966873043,0.78494801043071,NA,NA
"13","VC DMSO 0.3%",0.00411522633744856,"Am_86",-2.38560627359831,0.647425322394005,0.794312184940716,0,0,0.647425322394005,0.794312184940716,NA,NA
"14","VC DMSO 0.3%",0.0123456790123457,"Am_86",-1.90848501887865,0.804018527690605,0.828789178176992,0,0,0.804018527690605,0.828789178176992,NA,NA
"15","VC DMSO 0.3%",0.037037037037037,"Am_86",-1.43136376415899,0.848046744849162,0.8263910939422,0,0,0.848046744849162,0.8263910939422,NA,NA
"16","VC DMSO 0.3%",0.111111111111111,"Am_86",-0.954242509439325,0.746018277620049,0.882342077199636,0,0,0.746018277620049,0.882342077199636,NA,NA
"17","VC DMSO 0.3%",0.333333333333333,"Am_86",-0.477121254719663,0.770271151038704,0.819579866270369,0,0,0.770271151038704,0.819579866270369,NA,NA
"18","VC DMSO 0.3%",1,"Am_86",0,0.40248321878108,0.940977036307642,0,0,0.40248321878108,0.940977036307642,NA,NA
"19","VC DMSO 0.3%",0.00411522633744856,"Fh_12",-2.38560627359831,0.706997667978986,0.78447855540237,0,0,0.706997667978986,0.78447855540237,NA,NA
"20","VC DMSO 0.3%",0.0123456790123457,"Fh_12",-1.90848501887865,0.855809057630435,0.867116948777001,0,0,0.855809057630435,0.867116948777001,NA,NA
"21","VC DMSO 0.3%",0.037037037037037,"Fh_12",-1.43136376415899,0.884016286158442,0.902118929291472,0,0,0.884016286158442,0.902118929291472,NA,NA
"22","VC DMSO 0.3%",0.111111111111111,"Fh_12",-0.954242509439325,0.911259335508551,0.860788777933189,0,0,0.911259335508551,0.860788777933189,NA,NA
"23","VC DMSO 0.3%",0.333333333333333,"Fh_12",-0.477121254719663,0.955760452936737,0.855775773006582,0,0,0.955760452936737,0.855775773006582,NA,NA
"24","VC DMSO 0.3%",1,"Fh_12",0,0.889551260590279,0.915587713968553,0,0,0.889551260590279,0.915587713968553,NA,NA
"25","VC DMSO 0.3%",0.00411522633744856,"Gc_07",-2.38560627359831,0.741526351090364,0.952220824838773,0,0,0.741526351090364,0.952220824838773,NA,NA
"26","VC DMSO 0.3%",0.0123456790123457,"Gc_07",-1.90848501887865,0.872489078419728,0.932386207544972,0,0,0.872489078419728,0.932386207544972,NA,NA
"27","VC DMSO 0.3%",0.037037037037037,"Gc_07",-1.43136376415899,0.700028140786441,0.925340885200236,0,0,0.700028140786441,0.925340885200236,NA,NA
"28","VC DMSO 0.3%",0.111111111111111,"Gc_07",-0.954242509439325,0.665213223914033,0.849972682051886,0,0,0.665213223914033,0.849972682051886,NA,NA
"29","VC DMSO 0.3%",0.333333333333333,"Gc_07",-0.477121254719663,0.655925668363042,0.928189387774877,0,0,0.655925668363042,0.928189387774877,NA,NA
"30","VC DMSO 0.3%",1,"Gc_07",0,0.779474780731853,1.01556744152457,0,0,0.779474780731853,1.01556744152457,NA,NA
"31","VC DMSO 0.3%",0.00411522633744856,"Gc_23",-2.38560627359831,0.71174302646047,0.936661396731046,0,0,0.71174302646047,0.936661396731046,NA,NA
"32","VC DMSO 0.3%",0.0123456790123457,"Gc_23",-1.90848501887865,0.785773461294304,0.865422023219581,0,0,0.785773461294304,0.865422023219581,NA,NA
"33","VC DMSO 0.3%",0.037037037037037,"Gc_23",-1.43136376415899,0.921315485125965,0.927963758425793,0,0,0.921315485125965,0.927963758425793,NA,NA
"34","VC DMSO 0.3%",0.111111111111111,"Gc_23",-0.954242509439325,0.860358924999211,0.849593879391146,0,0,0.860358924999211,0.849593879391146,NA,NA
"35","VC DMSO 0.3%",0.333333333333333,"Gc_23",-0.477121254719663,0.932223921550706,0.914468166318276,0,0,0.932223921550706,0.914468166318276,NA,NA
"36","VC DMSO 0.3%",1,"Gc_23",0,0.359172595718703,0.771849112041083,0,0,0.359172595718703,0.771849112041083,NA,NA
"37","VC DMSO 0.3%",0.00411522633744856,"Gc_25",-2.38560627359831,0.898796264780077,0.946574270344033,0,0,0.898796264780077,0.946574270344033,NA,NA
"38","VC DMSO 0.3%",0.0123456790123457,"Gc_25",-1.90848501887865,0.774144441612638,0.854971015008217,0,0,0.774144441612638,0.854971015008217,NA,NA
"39","VC DMSO 0.3%",0.037037037037037,"Gc_25",-1.43136376415899,0.892978384143511,0.86765992143828,0,0,0.892978384143511,0.86765992143828,NA,NA
"40","VC DMSO 0.3%",0.111111111111111,"Gc_25",-0.954242509439325,0.874060542262447,0.932126548828943,0,0,0.874060542262447,0.932126548828943,NA,NA
"41","VC DMSO 0.3%",0.333333333333333,"Gc_25",-0.477121254719663,0.771437871236728,0.818770608067445,0,0,0.771437871236728,0.818770608067445,NA,NA
"42","VC DMSO 0.3%",1,"Gc_25",0,0.353676367578029,0.912243171887344,0,0,0.353676367578029,0.912243171887344,NA,NA
"43","VC DMSO 0.3%",0.00411522633744856,"Gc_26",-2.38560627359831,0.719566509878418,0.894762760118867,0,0,0.719566509878418,0.894762760118867,NA,NA
"44","VC DMSO 0.3%",0.0123456790123457,"Gc_26",-1.90848501887865,0.782622118839372,0.983744018602804,0,0,0.782622118839372,0.983744018602804,NA,NA
"45","VC DMSO 0.3%",0.037037037037037,"Gc_26",-1.43136376415899,0.7895918453093,0.946031316547939,0,0,0.7895918453093,0.946031316547939,NA,NA
"46","VC DMSO 0.3%",0.111111111111111,"Gc_26",-0.954242509439325,0.699044180508319,0.885005160713338,0,0,0.699044180508319,0.885005160713338,NA,NA
"47","VC DMSO 0.3%",0.333333333333333,"Gc_26",-0.477121254719663,0.596526964817704,0.931015615708964,0,0,0.596526964817704,0.931015615708964,NA,NA
"48","VC DMSO 0.3%",1,"Gc_26",0,0.214510555975833,0.915109968548125,0,0,0.214510555975833,0.915109968548125,NA,NA
"49","VC DMSO 0.3%",0.00411522633744856,"Gc_28",-2.38560627359831,0.838186135223815,0.921221287499763,0,0,0.838186135223815,0.921221287499763,NA,NA
"50","VC DMSO 0.3%",0.0123456790123457,"Gc_28",-1.90848501887865,0.962407962918179,0.898880292938897,0,0,0.962407962918179,0.898880292938897,NA,NA
"51","VC DMSO 0.3%",0.037037037037037,"Gc_28",-1.43136376415899,0.878733119379735,0.981191179810699,0,0,0.878733119379735,0.981191179810699,NA,NA
"52","VC DMSO 0.3%",0.111111111111111,"Gc_28",-0.954242509439325,1.00968626635491,0.849546100733063,0,0,1.00968626635491,0.849546100733063,NA,NA
"53","VC DMSO 0.3%",0.333333333333333,"Gc_28",-0.477121254719663,0.925979538435192,0.91608998756185,0,0,0.925979538435192,0.91608998756185,NA,NA
"54","VC DMSO 0.3%",1,"Gc_28",0,0.284813661518894,1.0255627508588,0,0,0.284813661518894,1.0255627508588,NA,NA
"55","VC DMSO 0.3%",0.00411522633744856,"Gc_32",-2.38560627359831,0.626229830264229,0.871295251508747,0,0,0.626229830264229,0.871295251508747,NA,NA
"56","VC DMSO 0.3%",0.0123456790123457,"Gc_32",-1.90848501887865,0.964228042215951,0.932920725172533,0,0,0.964228042215951,0.932920725172533,NA,NA
"57","VC DMSO 0.3%",0.037037037037037,"Gc_32",-1.43136376415899,0.898881660778612,0.976669139655413,0,0,0.898881660778612,0.976669139655413,NA,NA
"58","VC DMSO 0.3%",0.111111111111111,"Gc_32",-0.954242509439325,0.918908161700189,0.95177242678893,0,0,0.918908161700189,0.95177242678893,NA,NA
"59","VC DMSO 0.3%",0.333333333333333,"Gc_32",-0.477121254719663,0.792290880744163,0.900959757888858,0,0,0.792290880744163,0.900959757888858,NA,NA
"60","VC DMSO 0.3%",1,"Gc_32",0,0.311638713398364,0.89168116444124,0,0,0.311638713398364,0.89168116444124,NA,NA
"61","VC DMSO 0.3%",0.00411522633744856,"Gc_33",-2.38560627359831,0.98548758886453,0.972667346471388,0,0,0.98548758886453,0.972667346471388,NA,NA
"62","VC DMSO 0.3%",0.0123456790123457,"Gc_33",-1.90848501887865,1.06450032674817,1.00028304040004,0,0,1.06450032674817,1.00028304040004,NA,NA
"63","VC DMSO 0.3%",0.037037037037037,"Gc_33",-1.43136376415899,0.935820073684166,0.894255228283506,0,0,0.935820073684166,0.894255228283506,NA,NA
"64","VC DMSO 0.3%",0.111111111111111,"Gc_33",-0.954242509439325,1.02019442219635,0.949935417219656,0,0,1.02019442219635,0.949935417219656,NA,NA
